SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,song_hotttnesss
1164,SODNUSO12A8C13A9FE,204348,All Ages,AR46CAD1187FB4D84,Bad Religion,141.19138,4,0.318,161.071,4,0.719,Flat Earth Society (Album Version),1995,0.671871231
1165,SOQHZTG12A58A79385,529656,Music For Lovers,ARHB1961187B9B1732,Kofi,177.21424,11,0.485,163.921,4,0.373,"bIm Just A Girl""""",0,0.246575953
1166,SOJCVRV12AF729F1B6,98257,The Crimson Idol,ARTSGR41187B9912C6,W.A.S.P.,276.71465,8,0.343,116.815,4,0.982,Phantoms In The Mirror,1992,0.604205276
1167,SOGNLAE12A8C13ADD9,296908,The Color Of Music,ARQZRQ11187B9A5918,John P. Kee,301.26975,8,0.495,89.607,4,1,Encouraged,0,0.261569312
1168,SOXHTSO12A58A7CC5D,141886,Gaita Ponto Com,AR2XH7R1187B998D30,Renato Borghetti,150.80444,7,0.009,170.732,4,0,Armando,0,0.229144104
1169,SONICOR12A8C141F52,425825,Enthusiastic Corruption Of The Common Good,ARQ6QOK1187B9B0A2E,Kalibas,164.20526,0,0.49,93.507,1,0,From Ivory Towers Above The Control Grid,2003,0
1170,SOAMYXR12A8C13A8AF,296638,Beats_ Rhymes & Life,AR4WHYC1187B9896E7,A Tribe Called Quest,215.27465,10,0,95.192,4,1,Get A Hold,1996,0.62778538
1171,SOKFEUT12A6D4FC34C,274347,Steer EP,AROOKC21187B9AE85C,Missy Higgins,255.34649,9,0.706,142.968,4,0.517,Where I Stood [Live],0,0.345802234
1172,SOJAYZL12AB01817AF,539324,Lafayette Marquis_ The,AR8LD3R1187FB4D08F,C.C. Adcock,272.95302,9,0.745,162.016,4,0.748,"bLove N Gold""""",2004,0.249065795
1173,SOOBDVS12AB0188EA4,740406,Valleys Of Neptune,ARNDL191187FB51583,Jimi Hendrix,228.91057,1,0.477,86.104,1,0,Lullaby For The Summer,2010,0.645341857
1174,SOSRAMK12AB018814F,812979,Cloud Seed,ARXAHU31187B9B1520,"bVexd""""",243.25179,6,0.502,142.212,4,0.68,Disposition (feat. Jest),2010,0.633809245
1175,SOAZQTG12AB0183237,343298,Heart And Soul,ARFCOGY1187FB454B4,The Winans,277.83791,9,0.634,110.123,4,1,The Question Is (Album Version),0,0
1176,SOBRWML12AB017FB53,457614,Jericho,ARMZSTW1187B99DC0D,Jericho,223.92118,0,0.766,96.261,7,0.811,Simon,0,0.237360624
1177,SOAJFUR12A8C13C9CD,216817,Heavenly Vs. Satan,ARLF0QY1187FB4FDCC,Heavenly,206.18404,7,0.202,174.395,4,0,Over And Over,1990,0.433005077
1178,SOYJNHO12AB01856DC,346208,20 A\xc3\xb1os,ARAMIDF1187FB3D8D4,Alejandro Lerner,267.31057,5,0.316,128.48,1,0.452,Todo A Pulm\xc3\xb3n,1998,0.579728749
1179,SOWYXUZ12A6D4FA2AC,35009,Army Of One,AR8360R1187FB47C18,Cass Fox,254.30159,2,0.731,89.481,4,0.47,Army Of One,0,0
1180,SOJAFPW12AB0182E68,348099,"bI Cant Stop Loving You""""",AR7CCCC1187FB578FF,Don Gibson,148.06159,7,0.013,95.389,3,0.287,Evening Prayer,1959,0
1181,SOKKFEH12AB01830F9,515079,Live At The Rat,AR7XU1L1187B98D481,DMZ,178.96444,7,0.007,156.616,4,0.192,"bHes Waitin""""",0,0.265861049
1182,SOEMHMT12A58A7A778,482038,Waiting,ARCW5RB1187FB4383F,Jessie Lee Miller,142.21016,2,0.495,125.217,4,0.473,Hard To Admit,0,0
1183,SOKZTHA12A8C134830,265313,Good Girl Gone Bad: Reloaded,ARKU3Z61187FB51DCA,Rihanna,213.26322,5,0.609,94.987,4,1,Good Girl Gone Bad,2007,0.705148005
1184,SODGBHB12AB01803BD,373701,Never Alone,AR6TD9K1187B9A207D,Sister Rosetta Tharpe,116.45342,0,0.75,97.519,4,0.586,Shine For Jesus,0,0.212045405
1185,SOCTRKD12A8AE47E96,233801,Fervor / Lost & Found,ARWIN9D1187B98E544,Jason & The Scorchers,154.8273,7,0.868,175.945,4,0.291,If Money Talks,1985,0.372530039
1186,SONTXFB12A8C145C15,430749,The Long Fall Back To Earth,ARZ96PB1187B98F5C9,Jars Of Clay,223.89506,11,1,127.969,4,0.23,"bDont Stop""""",2009,0.53066303
1187,SONSUTY12A6D4FA57D,57691,Luz Negra,ARWI6LR1187FB46E9F,Richard Galliano,190.74567,9,0.51,98.987,1,0,Les Forains,1999,0.367273416
1188,SOUQJMW12A8C134DF4,282337,Long Way Home From Anywhere,AR5M4GN1187FB3F2F6,Bruce Robison,184.05832,5,0.161,79.606,1,0.256,Trouble,0,0.512319887
1189,SOAUMHT12AB01839D0,503069,Desolation Angels,ARD8JVH1187FB4DA04,Bad Company,253.02159,2,0.211,131.564,4,0.172,Take The Time,1979,0.407233015
1190,SOJPNCH12A67AE0E21,68828,Joyful,ARN03F71187FB4E3F4,Ayo,232.28036,11,0.093,117.495,4,0.781,Watching You,2006,0.771163322
1191,SOKUXBH12AAFF40902,608786,Slow to Burn (Deluxe),ARZFRQM1187B9A9772,Vanessa Daou,179.93098,0,0.011,102.006,4,1,For Anything,1996,0
1192,SOWPJTG12AB01878C0,567051,I Feel So Good_ The 1951-54 J.O.B.Sessions,AR58SJE1187B9A8E4C,J.B.Lenoir,169.22077,9,0.688,150.59,4,0,"bLets Roll (Take 1)""""",1991,0
1193,SOQIVUY12A6D4F8F74,38725,The Fire Theft,AR81BPV1187B9AED0E,The Fire Theft,223.37261,6,0.096,137.614,3,0.907,Chain (Album Version),2003,0.643470577
1194,SOUFIZZ12A6D4FB02,62348,Zig Zag Walk,ARJVTRE1187B9959C0,Foghat,208.66567,7,0.691,132.159,4,0.054,Zig-Zag Walk,1983,0.334706549
1195,SONRPGH12A6310D895,869,It Was Like This,AR8CT8U1187FB4D803,"bDexys Midnight Runners""""",157.75302,8,0.512,151.123,4,0.554,Seven Days Too Long,1980,0.544750913
1196,SOXDFKG12A8C1342B8,197988,Are You Ready For Freddie,ARRT66G1187FB3DDF9,Freddie King,304.50893,8,0.595,102.785,4,0.817,Rock Me Baby,0,0.334706549
1197,SOLMLRP12AB01890AF,673082,Rev,ARIVB351187B9B485E,Porno For Pyros,223.05914,5,0.096,151.741,4,0.838,Satellite Of Love (Album Version),0,0.273689667
1198,SOESTLI12A6D4F6E53,27233,Closer,ARYG6CU1187FB3852,Milk Inc.,202.10893,0,0.267,140.017,1,0,Nothing To You,2003,0.460541281
1199,SOEWZBO12AB0187F4D,708568,Desejo,ARV6QHT1187FB5537A,Nana Caymmi,188.65587,2,0.662,110.411,4,0.69,Lero Do Bolero,2001,0
1200,SOXPJDT12A8C131F4D,241960,We Sing.  We Dance.  We Steal Things.,ARML3X41187FB35F2E,Jason Mraz,218.22649,5,0.75,133.3,5,0.906,Coyotes (Album Version),0,0.356201916
1201,SOYUBHZ12A8C136E79,402958,Steal This Album!,AR9C8IE1187B9ACC99,System of a Down,217.59955,0,0.05,130.867,4,0.382,Streamline,2001,0.734555268
1202,SOYHHHT12A6D4F7F97,40839,Hits,AR9W3X91187FB3994C,Phil Collins,285.98812,3,0.997,136.32,4,0.903,One More Night,1985,0.82347923
1203,SOXKKUV12AB01867F9,515003,Beer Town: The Table Top Collective Vol. 3,ARDZRMF122988F7633,Session Americana,210.31138,7,0.729,141.872,1,0,Ice Cream Man,2007,0.391102505
1204,SOPZATK12A6D4FDDB0,650589,Brewed In Texas,AREN1A11187FB527EF,Roger Creager,239.20281,7,0.989,115.304,4,0.917,The Everclear Song,1998,0.653811413
1205,SOLCICH12A58A7DB31,230648,West Coast Resurrection,ARPBTRI1187FB52457,The Game,264.09751,8,0.642,74.697,3,0.849,Desperados,0,0.372530039
1206,SOGOUPN12AB0186262,509702,El Satanico Dr.Cadillac,ARL3VGT1187FB40E8E,Los Fabulosos Cadillacs,219.68934,0,0.57,161.176,1,0,Todas Las Cosas Que Ella Me Di\xc3\xb3,0,0.407233015
1207,SOURJIW12AC3DF6AAE,776027,Fly Again Remixes,ARUME5Q1187B9B1AA7,Kristine W.,239.80363,8,0.731,131.909,4,0.73,Fly Again (The Scumfrog Radio Edit),0,0.268010316
1208,SOANUAV12AC468BA4F,747113,Discografia Completa Vol. 10,ARYN8YT1187FB38396,Los Iracundos,159.08526,6,0.585,115.616,4,1,No Se Lo Que Me Da,0,0
1209,SOGHPTG12A6D4F97CF,31500,Signs,ARFQ7RR1187FB3CC0A,Badmarsh & Shri,263.31383,6,0.432,87.327,3,1,Bang,2001,0.579728749
1210,SOZASXE12A58A7F12,225156,The Other Side Of The Looking Glass,ARHG53Q1187B9ACBFC,Alias,310.72608,1,0.835,111.67,3,1,Dying To Stay,0,0.454192988
1211,SOAANKE12A8C13CF5C,114401,So Deluxe So Glorious,ARB0WNP1187B9AC4A,Samy Deluxe,247.01342,11,0.05,114.072,5,0.583,Sam und Bo_ N.E.O.,2005,0.430160637
1212,SOYWVRO12AB018353,369461,I Got To Find Me A Woman,AR63RWN1187FB3E89A,Robert Lockwood_ Jr.,162.45506,2,0.491,99.701,1,0.089,Kindhearted Woman Blues,1998,0
1213,SOFMBEN12AB0180769,622804,Tomorrow Hit Today,ARGBR4I1187B99D073,Mudhoney,519.13098,0,0.434,131.642,3,0.687,"Beneath The Valley Of The Underdog (Album Version + Hidden Track Talkin\ Randy Tate\s..."")""",1998,0.514753324
1214,SOYYJBH12AB01894D,463518,Chasing Monsters,AR1Y2PT1187FB5B9CE,John Wesley,270.31465,4,0.566,147.932,4,0.587,Chasing Monsters,0,0.437036204
1215,SOGMRON12A8C136042,257266,Sweet Smell Of Success,ARBE5BJ1187B98BCFD,The Chico Hamilton Quintet,140.19873,2,0.324,65.019,1,0,Night Beat,0,0
1216,SOTOBYW12A8C1429DE,700848,Pure,ARNI9J91187B9ACFCD,The Primitives,172.93016,2,0.675,99.752,4,0.859,Never Tell,0,0.386477291
1217,SONXOVG12A6D4FC104,65559,Our Flesh Deception,ARNI8K81187FB423C7,Human Disease,190.79791,9,0.908,140.052,4,0.725,Gold Flames Of Angels,2004,0
1218,SOUCHEP12AB01862BA,762480,Owsley,ARPGYM11187FB4B1E1,Owsley,221.77914,7,0.334,133.125,4,0.417,Zavelow House (Album Version),1999,0.219528822
1219,SOEEWKM12A8C13B9FF,112144,Beyond The Valley Of The Murderdolls,ARKT5SH1187B9AE8BF,Murderdolls,147.51302,9,0.198,195.317,1,0,Kill Miss America (Album Version),2002,0.640779216
1220,SOJTVHW12A8C142F98,637620,"bLookin For A Change""""",ARY1K701187B9A43A9,Joe McBride,309.39383,9,0.491,105.882,7,1,Like A Star,0,0.427446571
1221,SOYDOBA12A8C1384F9,156712,Perro Malagradecido,ARP07GD1187B9B9DA4,Los Originales De San Juan,250.48771,5,0.572,103.02,1,0.025,Joaquin Torres Jr.,0,0
1222,SOJZBCP12A67ADA093,42565,The Dutchess,ARMRCET1187FB52049,Fergie,293.19791,11,0.238,150.003,4,0.463,Velvet,0,0.653899846
1223,SOYJMPE12A6D4F4BB6,78918,The Trashcan Electric E.P.,ARAFRFP1187FB4230,Williamson,223.81669,11,0.908,140.003,4,0,Cool People Make Me Tired,2005,0.371208394
1224,SOPVVJD12A58A7CA8D,420743,Infinite Love Songs,ARS0W831187B9AF0B7,Maximilian Hecker,295.60118,2,0.876,65.941,4,0,Let Me Out,2001,0.467365631
1225,SOFVBVJ12A8C1404E,633081,La ragazza dalla pelle di luna (Outtakes),AR8TCLH1187B9A85E4,Piero Umiliani,150.17751,9,0,88.49,4,0.568,"bRicerca nell isola""""",0,0.212045405
1226,SOHGILP12A8C132080,710242,The Omaha Record,ARELMNO1187FB52929,Bottom Of The Hudson,279.90159,4,0.214,74.481,1,0,Eagle Eye,2003,0.215080319
1227,SOGACRX12A8AE48009,138321,The Alchemy Index: Vols 1 & 2 Fire & Water,ARIMZQZ1187B9AD541,Thrice,224.28689,0,0.402,125.604,4,1,Alchemy Index Vol 1 \x13 Water 1 of 6,0,0.855396659
1228,SOKPQJW12A58A777CA,489530,Draw Me Close,ARH3TXI1187FB3A486,Kathy Troccoli,186.69669,0,0.703,90.854,3,0.559,Great Is Thy Faithfulness,0,0.253834736
1229,SOPDRUR12AB0182EC1,629292,"bSans Fusils_ Ni Souliers_ A Paris: Martha Wainwrights Piaf Record""""",ARRWAD71187FB3FE44,Martha Wainwright,287.08526,10,0.513,82.124,7,0.74,"bCest Toujours la M\xc3\xaame Histoire""""",2009,0.597116703
1230,SOVRDDO12A8C137FDA,202999,Coreana,ARYUHNV1187FB482AF,Megadrums,136.30649,0,0.536,122.148,5,1,Dasotmori Live,0,0
1231,SOOJUIE12A81C212C2,132634,White People,ARNWZ1N1187B9B71BA,Handsome Boy Modeling School,384.70485,11,0.474,118.241,4,0.31,Rock And Roll (Could Never Hip Hop Like This) Part 2 featuring Lord Finesse_ Mike Shonoda_ Chester Bennington_ Rahzel_ Qbert_ Grand Wizard Theodore & Jazzy Jay (Instrumental),2004,0.502449624
1232,SOFBWHA12A8C13A6C8,253942,Mandali,ARDNW1B1187FB4ABB,Africando All Stars,274.25914,0,0.931,167.677,4,0.577,Mopao,2003,0.386790177
1233,SOVMVHS12AB018126C,460503,Oj\xc3\xba,AR9G2A41187B99951A,Las Ni\xc3\xb1as,217.62567,8,0.038,115.584,4,0.152,Cuento De La Buena Pipa,2003,0.375984302
1234,SOHRSTQ12AB01811F,641636,Paris-accordeon,ARRMOXN122988EE92C,Jacques Ferchit,157.09995,4,0.279,125.163,4,0.729,"b\xc3\x87a cest Paris""""",0,0
1235,SOKZILC12A6D4FBC9D,186934,"bLupe Fiascos The Cool""""",ARPFHN61187FB575F6,Lupe Fiasco feat. GemStones,216.60689,5,0.466,200.114,3,1,Go Baby (feat GemStones) (Explicit Album Version),0,0.648463145
1236,SORKBDW12AAF3B46A0,509856,Fania All-Stars - Rhythm Machine,ARIWQYF11F4C8427FF,Fania All Stars,294.55628,6,0.479,93.373,4,0.331,Peanuts (The Peanut Vendor),0,0.439202489
1237,SOBEVGM12A67ADBCA7,16901,Dutty Rock,AR65K7A1187FB4DAA4,Sean Paul,245.34159,1,0.008,91.099,4,1,Baby Boy [feat. Beyonce],0,0.569049035
1238,SOHXCVP12A81C1FC64,145265,Stormbl\xc3\xa5st 2005,ARLSF8H1187B9A76B0,Dimmu Borgir,331.04934,10,0.035,90.438,3,0.72,Broderskapets ring,1996,0.649119544
1239,SOHWVRC12A6D4F6DA6,20133,Love Beyond Reason,AREVQ7D1187FB4371,Randy Stonehill,215.2224,0,0.255,137.113,5,0.582,Angry Young Men (LP Version),0,0
1240,SOSBJFI12A58A791C9,149972,Contacto,ARZ3U0K1187B999BF4,Cabas,284.31628,4,0.653,106.361,3,1,Machuca,0,0.375984302
1241,SOFGXIF12A670215E4,12687,The Sound Of White - U.S. Version,AROOKC21187B9AE85C,Missy Higgins,225.14893,5,0.295,92.761,4,0.197,Ten Days (Album Version),0,0.345802234
1242,SOUKZLZ12A6D4F869D,52382,Babel - Music From And Inspired By The Motion Picture,ARM4J201187B9B8B3,Gustavo Santaolalla,117.18485,2,0.267,90.463,3,1,The Blinding Sun,2006,0.639248489
1243,SOHBCCE12AB0183009,500301,Ultrakurzwelle,ARQAXT91187B99103A,UKW,249.57342,0,0.475,162.006,4,0.454,Einmal reich,0,0
1244,SOBBFWL12A8C140087,307980,Rang De Basanti,ARAA1VM1187B994013,Daler Mehndi;Chitra,363.80689,7,0.417,105.026,4,0.692,Rang De Basanti,0,0.363686043
1245,SONLBRH12A6D4FBAEE,64571,LEARNING TO TRUST,ARU2JAB1187FB50C72,David Meece,34.08934,9,0.541,129.953,4,0,Prelude (Learing To Trust Album Version),0,0
1246,SONXFYD12AAA8C6D44,480397,Killafornia,AR1J7881187B9959D8,First Blood,283.48036,7,0.304,160.589,3,0.49,Execution,2005,0.746441979
1247,SORSIAC12A8C140BD9,310447,Sound Theories Vol. I & II,AROY6XW1187B991121,Steve Vai,69.90322,3,0.051,169.654,4,0.896,The Murder Prologue,2007,0.518340538
1248,SOEKTRQ12A8C13B7EA,302077,Collections,ARGHV4C1187B995847,The Mustangs,160.26077,4,0.469,85.538,1,0,Moscow Nights,0,0
1249,SOXWGYN12A6702067A,12180,Barrio Fino,ARBNXYA1187FB51C50,Daddy Yankee / May-Be,199.47057,9,0.693,91.988,4,0.933,Que Vas A Hacer?,2004,0.471578248
1250,SONUSTR12AB0186544,766272,Super Hits,ARLWR721187B9A03C9,T.G. Sheppard,228.85832,3,0.227,118.198,4,0.466,Finally (Album Version),0,0.369653435
1251,SOHBVHN12AB0180BA7,512225,Los Fabulosos Cadillacs - Vol. V,ARL3VGT1187FB40E8E,Los Fabulosos Cadillacs,137.06404,10,0.627,118.776,4,1,Electrasonic V,1990,0.327736683
1252,SOEUZKU12AB018A2B2,724914,The Best of Carlton Livingston,ARD2F1Z1187FB3D27E,Carlton Livingston,201.97832,8,0.44,90.59,5,0.799,Slow Down,0,0
1253,SOKHLKW12AAF3B572C,323874,Romantic Rhapsodies,AR7CCS31187B98C531,Tom Barabas,336.66567,5,0.161,138.021,4,0.968,Shades Of Love,0,0.427446571
1254,SOUJKIR12AB0186E43,753955,El sentido del aire,ARLCGW21187B9929EE,Juan Carmona,338.96444,6,0.48,110.361,1,0,Soleariyas,0,0
1255,SOWDLGO12AB0182434,367177,Meet Me in the City,ARRM70G1187B9A7F64,Junior Kimbrough,294.76526,4,0.831,92.32,3,0.546,Lonesome Road,1997,0.510996648
1256,SOUXANT12A6D4FB048,15963,Temple Of The Dog,ARPGTHP1187B9AC284,Temple Of The Dog,243.9571,7,0.598,137.937,4,0.117,Hunger Strike,1991,0.849019886
1257,SOBOJIH12AB0183BB3,534026,Little Darla Has A Treat For You v.26,ARRVIZY1187FB41246,California Oranges,216.58077,2,0.254,122.015,4,0.576,I Won\x19t Let You Back In,0,0.212045405
1258,SORJHOX12A8AE48899,529132,Donnie McClurkin... Again,ARF3HEO1187B9AF2F4,Donnie McClurkin,318.82404,8,0.577,230.041,3,1,"bIm Walking""""",0,0.457447167
1259,SOOHPYN12A67020C87,15791,That Was Only Yesterday - An Introduction To,AR4YY6D1187B9AEC44,Spooky Tooth / Mike Harrison,384.7571,2,0.407,134.804,1,0,I Am The Walrus,1970,0.807174434
1260,SOFZXEV12A8C13A407,297039,Speed Ballads,AR0U44O1187B99007C,Republica,264.22812,5,0.572,137.953,4,0.43,Pub Pusher,1998,0.531722098
1261,SONIPXL12AC4688938,783141,Sellotape Flowers,ARGF5QG1187B9AC84F,Geiom,365.60934,1,0.014,119.901,4,0.835,Sellotape Flowers,2001,0.270775999
1262,SOCQWMC12A8C1429D1,615092,Storms Of Life,ARAPH9U1187B9B34F0,Randy Travis,186.3571,5,0.752,95.866,4,0,On The Other Hand (Album Version),1986,0.705223246
1263,SOZGBWV12A8C137BE5,294880,Toni Braxton,ARAEX7Y1187FB42D36,Toni Braxton,267.2322,11,0.497,123.755,4,1,Best Friend,1993,0.507531546
1264,SOAPQSY12A6310E055,1156,Dead Letter Office: The I.R.S. Years Vintage 1987,ARR6LWJ1187FB44C8,R.E.M.,340.11383,2,0.496,153.833,1,0,Stumble,1982,0.575103501
1265,SODNYAB12A8C145644,598477,Life On D-Block,AR6GR981187FB5184A,Sheek Louch,64.65261,8,0.085,157.696,4,1,Die Slow,2009,0.589015659
1266,SOXPCET12AB018D580,760553,The Seventh Seal,AR8B1WY1187FB38366,Rakim feat. Tracey Horton,291.97016,10,0.019,168,4,0.132,"bWont Be Long""""",2009,0.53922151
1267,SOOHZIM12A67ADDB09,731006,The Long Way Back,AR567PN1187FB4B4F2,Moss,206.57587,4,0.76,119.947,4,0.781,Winter In Finland,2006,0.504034341
1268,SOGBXYT12A8C1443D,611775,Stukas Over Disneyland,ARFONKU11F4C8431CC,Dickies,216.94649,11,0.527,94,4,0.581,Pretty Please Me,0,0.531722098
1269,SODYGKH12AB0181F88,466924,Malague\xc3\xb1a,AR6HAZT1187FB4A3AA,Roy Buchanan,179.93098,3,0.026,77.806,7,0.856,Chowbay,0,0.358739843
1270,SOKJUBL12A8C13760D,289490,At The Speed Of Life,AR49IQD1187FB37EA7,Xzibit,252.99546,8,0.502,90.998,4,0.983,Carry The Weight,1996,0.536788886
1271,SOYDZAD12A67020BD,13139,High Time,ARB336A1187B9A4583,MC5,381.30893,2,0.5,171.944,7,0.57,Future/Now (LP Version),1971,0.26633059
1272,SOOQDTX12A6701F09A,10149,Rarities & B-Sides,ARN5NHX1187FB4F755,The Smashing Pumpkins,399.98649,7,0.737,66.41,4,1,Soot and Stars,2001,0.577107924
1273,SOUDOMR12AB017F3DC,484483,Fortune My Foe,ARW3KQ51187B9A0E0C,Les Witches,162.61179,0,0,39.899,4,0,Cupareree or Graysinn,0,0
1274,SOZQVRR12A8C1353A2,87591,Big Metal Birds,ARDBFT21187B98E524,Janitor Joe,122.72281,9,0.597,66.932,1,0,Voucher,1993,0.345802234
1275,SOOLDQM12A8C1405A,218964,Hamburg City Heftig Vol.1,ARRHVGT1187B98D603,Dynamite Deluxe,152.92036,11,0.823,152.343,4,0.782,Eimsbush bis 0711,2000,0.340922756
1276,SOGHXZH12A8C1388B9,289547,Invincible,ARXPPEY1187FB51DF4,Michael Jackson,289.38404,11,0.476,117.362,4,1,Heaven Can Wait,2001,0.639791573
1277,SOFNEXF12A8AE464D0,182774,When Disaster Strikes,ARBCUNV1187B98A9F,Busta Rhymes,205.00853,10,0.593,100.44,4,0.804,When Disaster Strikes (Explicit LP Version),0,0.550647153
1278,SOFZBND12AB0182D9A,546401,Rock It,ARZRR0M1187FB3EE0A,Sub Focus,214.83057,8,0.038,86.991,4,0.378,Follow The Light (Radio Edit),2009,0.460541281
1279,SOHGGKC12A8C130BE4,192598,Coram Deo II: People Of Praise,ART1R9I1187B9B3324,Margaret Becker,242.12853,4,0.242,110.828,3,0.725,Sweet Suffering Christ,1993,0
1280,SOUEHCD12AB0188F80,21740,Seventeen Days,ARW1MUW1187FB4D5A1,3 Doors Down,232.07138,10,0.504,143.699,4,1,Here Without You,2002,0.704519988
1281,SOABFNB12AB0180FAA,650635,"bThe Singin Cowboy - 20 Great Favourites""""",ARZ1PTN1187B9967D9,Gene Autry,153.36444,0,0.83,114.805,4,0.738,Cool Water,0,0
1282,SOBHFZM12AB0183A71,492596,Postcards,ARYJ6RP1187B9B3827,Cindy Morgan,217.83465,6,0.887,108.941,4,1,Dig Up,0,0.238380012
1283,SOGCCFL12AB0185B8C,416757,Our Music Is Red  - With Purple Flashes,ARVSDB11187FB4270,The Creation,147.69587,2,0.791,134.021,4,0.382,Try And Stop Me,1967,0.487492443
1284,SOCKRAI12A81C20385,231129,Que No Pare La Rumba,AROSW2I1187FB44866,Sonora Carruseles,297.79546,9,0.524,54.192,1,0,Las Muchachas,0,0.334706549
1285,SOTBDLI12AC468A8AF,732855,Paris Musette_ vol. 1,ARQCYDK122BCFCC606,Paris Musette,132.07465,9,0.481,222.916,1,0,Passion,0,0
1286,SOMBVRT12AB0181F49,447998,Bienvenidos A La \xc3\x89poca Iconoclasta,ARYXJ5A1187B9B9E56,Los Delinq\xc3\xbcentes,192.1824,9,0.51,146.64,4,0.923,Qu\xc3\xadtate La Ropa,2009,0.480934213
1287,SOJPNVG12A6D4FACFC,227650,Rise,AR1DGSO1187FB59B15,Eddie Turner,146.1024,2,0.074,89.984,4,0.611,Resurrection,2005,0
1288,SOQYEDW12A6D4F8D64,328380,Pleasure Man,AR8OSA91187B9B9BA2,Gunther & the Sunshine Girls,240.40444,0,0.813,131.991,4,0,Teeny Weeny String Bikini,2004,0.682230871
1289,SOCXKTK12A8C13E6BA,248731,Latin+Jazz=,ARCLCFS1187B9AE476,Laurindo Almeida,234.16118,10,0.396,182.393,4,0,Mozart In Samba Motion,0,0
1290,SOIVVEW12A8C141277,223396,Confrontation,AR9Q3LP1187FB3D647,Soilent Green,278.96118,10,0.323,175.781,4,0,Pretty Smiles & Shattered Teeth,0,0.437036204
1291,SOSZDME12AF72AC84F,747512,House Of Blue Lights,AR0CDSK1187FB52ED6,Asleep At The Wheel,399.04608,11,0.699,123.401,5,0.619,Hot Rod Lincoln,1988,0.549395783
1292,SOQPTOJ12AB017DE93,518086,Ah\xc3\xad Vamos,AR189B91187B9B8D9C,Gustavo Cerati,333.19138,5,0.775,196.429,4,0.66,M\xc3\xa9dium,2006,0.56101941
1293,SOFLWFD12AB0189846,714363,Lauren Wood,AR1SFKQ1187B98AF13,Lauren Wood,207.20281,11,0.354,119.057,4,1,But You Are,0,0
1294,SOEZZFV12AB0184D09,607832,Cleptocracey,AR6HFW21187B9A8922,Kill The Client,57.18159,8,0.591,138.207,1,0,Dog Tagged,2008,0.498354612
1295,SOYCSXH12AC3A4DF57,775336,Out Of Our Minds,ARQY95Q1187FB3E53A,Melissa Auf der Maur,232.6722,4,0.026,121.983,4,1,The Key,2010,0.249037269
1296,SOBPLJZ12A8C13820,619582,Song Of The Hills: Appalachian Classics,ARY4M3J1187B9AC94C,John Sebastian,225.14893,7,0.798,158.429,3,0.227,"bWagoners Lad""""",0,0.503381236
1297,SOUMWKR12AB0181548,331557,Maudat,ARIKFQP1187B99A246,Stille Volk,276.37506,5,0,149.971,4,0.392,Orgasme Tellurique,2003,0.450762242
1298,SOQJZSD12A58A7B143,90302,Situations,ARSYHZ21187B99F5F5,Tina Ann,395.62404,9,0.432,135.037,4,0,Too Late (Orange Factory Extended Mix),2003,0
1299,SOYHQFQ12AF72A1440,468713,Racing the Tide,ARUTP601187FB388AC,The Elders,241.05751,7,0.788,146.053,4,0,Gonna Take a Miracle,0,0.445454525
1300,SODGKWB12A8C13F612,304110,Miyela Africa,ARW1DZQ1187B9A18E0,Vusi Mahlasela,250.48771,2,1,120.024,3,0.877,Amdokwe,0,0
1301,SOEKCXN12A8C13FF8C,278510,Simple House,AR6J3X81187FB59A7,Margaret Becker,193.74975,7,0.645,141.729,4,0,Look Me In The Eye,0,0.657700674
1302,SOVMXWO12AB0181DC9,515100,Brain Cycles,AR3O0021187B999BC8,Radio Moscow,255.89506,0,0.612,163.087,4,0.316,Broke Down,2009,0.721199658
1303,SOFLKBO12A8C14327A,786949,The Giuseppi Logan Quintet,AREW0021187B9AF8F9,Giuseppi Logan,454.94812,7,0.474,104.231,3,1,Bop Moon,0,0
1304,SODYLCG12AB018484,760855,The Roches,AR11NP91187B9901B4,The Roches,243.51302,2,0.705,131.84,4,0.179,Mr. Sellack (Album Version),1979,0
1305,SOLENTG12AB018ADA3,589057,The Open Mind Of John D. Loudermilk,AR5ZJLK1187B9B3A8E,John D. Loudermilk,123.42812,0,0.024,133.582,4,0,Nassau Town,0,0
1306,SOPHRUQ12A6D4FAE96,64157,Battle Of Britain,ARKON4P1187B98B291,Ron Goodwin,99.97016,10,0.001,71.228,1,0.691,The Lull Before The Storm,1999,0.212045405
1307,SOXOUJH12A6D4FC39,622906,The Mix (2009 Digital Remaster),AR1ZKBE1187FB53629,Kraftwerk,272.03873,3,0.482,132.026,4,0.784,Pocket Calculator (2009 Digital Remaster),0,0.596027888
1308,SOJUPRU12A58A7A5B6,153075,Los Primeros Exitos Alacraneros,AR4W5GR1187FB51F7E,Alacranes Musical,284.1073,0,0.492,168.144,3,0.769,Indita Mia (Album Version),0,0
1309,SOJLJIE12AB017E507,328432,Pegadito,AR0WCZW1187B99F592,Tommy Torres,219.21914,9,0.407,165.977,4,0.614,Pegadito,0,0.687470641
1310,SONQNPM12A67020A32,15269,Music Of The Sun,ARKU3Z61187FB51DCA,Rihanna,235.98975,0,0.647,85.976,4,0.973,Music Of The Sun,2005,0.668601101
