SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistLatitude,ArtistLocation,ArtistLongitude,ArtistName,Danceability,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year
25,SONAEGX12A8C141C53,477924,bWhy cant we live together Rmx,ARDNMNC11F4C842FDE,,,,Sin Plomo,0,444.49914,7,0.804,127.955,4,0,bWhy cant we live together,0
26,SOOAMWT12A8C13B479,251204,Dinosaur,AR9YWMS1187FB43A34,,Amherst MA,,Dinosaur Jr.,0,198.53016,0,0.456,185.452,1,0,Does It Float,1985
27,SOLYUTF12A8C133225,238242,Them,ARNVM131187B990D2,,Oakland CA,,themselves,0,271.43791,1,0.617,167.885,4,0.465,Crayon Sharpener,2003
28,SOJYYHN12AB0182966,345186,Tall Stories,ARDDYFH11F4C83DD58,,,,Lloyd Spiegel,0,188.70812,9,0.215,113.397,4,0.948,The Storm,0
29,SOASHZJ12A8C1426D8,311098,The Soul Of Jazz (Jazz Club),AR9ST641187B99B4DE,38.62774,St. Louis MO,-90.19951,Cal Tjader,0,199.75791,9,0.283,143.764,1,0.137,Along Comes Mary,0
30,SOYYFNE12AB018A96D,774026,From Hell...With Love,ARJ8PZJ1187B99314F,,Seattle Washington,,Aiden,0,241.03138,7,0.705,125.653,4,1,Die Romantic [Live],0
31,SOIRKJL12A8C13A2AA,298352,Ultimate Toni Braxton,ARAEX7Y1187FB42D36,,Severn MD,,Toni Braxton Featuring Babyface,0,240.61342,10,0,103.832,4,0.986,Give U My Heart,2003
32,SOLQETH12AB0181E42,619734,bSex_ Anarchy & Rock N Roll Swindle,ARD3LXU1187B9ABFC5,,,,The Sex Pistols,0,176.5873,11,0.48,89.607,1,0,My Way (Alternate Studio Version),0
33,SOZPMGI12AB018979F,656041,Calm Before the Storm,ARGXIE31187FB55B48,,BAKERSFIELD California,,Tech N9ne,0,260.38812,7,0.399,106.644,1,0.923,Spend the Night featuring Rock Money and Paul Law,0
34,SOZYCQM12A8C13F9A,174686,Jazz Gillum Vol. 3 1941-1946,ARW4AGO1187FB4F107,33.45081,Indianola MS,-90.645,Jazz Gillum,0,191.86893,4,0.341,98.563,1,0,bMaybe Youll Love Me Too,0
35,SOXVMZV12A8C142488,476059,Georgiavania,ARWHVAC123E29C221D,,,,Willie Isz,0,338.72934,1,0,83.573,1,1,Violet Heart Box,2009
36,SOPLYEI12AB0181C03,446698,Count Me In,AR6KNZ01187B9A35D1,34.05349,California - LA,-118.24532,Justo Almario,0,243.43465,7,0.768,216.557,7,1,In Your Dreams,1995
37,SOLKGAA12AB0184EF8,759051,International,ARYFHBH1257509D340,,,,Hassan Annouri,0,259.26485,1,0.605,96.043,4,0.415,Gutes M\xc3\xa4dchen,0
38,SOIAEVG12A8C141B2F,269851,At The 2nd Fret,AR6BHP31187FB365E1,36.06899,Greensboro NC,-79.7947,Sonny Terry / Brownie McGhee,0,343.84934,5,0.672,100.82,3,1,I Woke Up One Morning And I Could Hardly See,0
39,SOKASWV12AB01857B5,631067,Strata Presents The End Of The World,AR4IWYN1187FB47DF6,37.28848,Campbell CA,-121.94486,Strata,0,201.27302,5,0.426,125.562,4,1,Night Falls (The Weight Of It),2007
40,SOQFUXL12A8C136D6,702264,Meu P\xc3\xa9 Meu Querido P\xc3\xa9,AR1PQYO1187B98BEC9,,,,H\xc3\xa9lio Ziskind,0,60.70812,11,0,200.617,4,0.379,Cocoric\xc3\xb3 (Abertura),0
41,SOOJXKD12A58A7AB3C,239051,Precious Little,AR695PK1187B996E35,54.6904,West Hartlepool England,-1.2323,Jeremy Spencer,0,289.77587,0,1,92.433,3,0.574,It Hurts Me Too,2006
42,SOCHDXC12A8C13837F,295675,Even In Darkness,ARYZGN21187B98D5D6,,Atlanta GA,,Dungeon Family,0,264.6722,0,0.153,117.004,4,1,Follow The Light,0
43,SOAJZJM12A6D4FA033,50589,Jazz Age!,ARGDLJR1187B98D048,,,,Bob Crosby,0,173.73995,2,0.715,119.763,4,1,The World Is Waiting For The Sunrise,0
44,SOSBXWX12A6701D235,15555,bLive Era 87-93,ARM7EDF1187B9B3FA1,,,,bGuns N Roses,0,402.36363,6,0.741,122.838,4,0.554,Patience,1988
45,SOJHKKJ12AB0182FBA,648542,The Wandering Minstrel,ARMZ4SJ1187FB4657,,Finglas Ireland,,S\xc3\xa9amus Ennis,0,249.73016,1,0.747,162.356,4,0.721,bThe Little Stack Of Barley / Cronins Hornpipe,0
46,SOSURIF12AB0180A1,457769,The Awakening,ARTHKHA1187FB3996A,40.85251,Long Island NY,-73.13585,PMD,0,44.2771,2,0.086,70.123,1,0.514,Let it go Interlude,0
47,SOZAWLR12A58A79324,463522,Oxford,AR1Y2PT1187FB5B9CE,27.94017,Brandon,-82.32547,John Wesley,0,166.03383,4,0.688,150.986,3,1,Alone Together (Live Acoustic),0
48,SOQLKYX12A8C13A7A,296910,Piano Masterpieces,ARY8LJ11187FB4019,37.59791,Samti LA,69.86799,Floyd Cramer,0,117.4722,2,0.186,83.724,4,0,Near You,1964
49,SOZPRLC12AB01866A7,471392,Yolandita Monge Selected Hits Vol. 2,ARDG9I21187FB35FF3,,,,Yolandita Monge,0,181.49832,0,0.502,114.325,4,0.735,Soy Un Poco De Ti - Original,0
50,SOZYZDZ12AB01873CA,685007,Day Parts-Romance,ARNLE621187B98ECB5,41.26069,Omaha NE,-95.93995,Mannheim Steamroller,0,277.65506,0,0.626,109.831,4,1,On The Edge Of Forever,0
51,SOQMFYZ12A6D4F9C4A,47750,Late Orchestration,ARRH63Y1187FB47783,,Atlanta GA,,Kanye West,0,247.64036,7,0.569,81.53,4,0.859,Diamonds From Sierra Leone,2005
52,SODCBAD12A8C130BA2,284332,Rap Life,ARXW2MN1187B9B8817,,New York NY,,X-Ecutioners featuring Big Pun,0,65.72363,1,0.531,115.498,3,0.199,The Drama (intro),0
53,SOVSIZD12AB0184484,648437,"HarpGuitar Antonio Koudele Plays Evergreens"" Vol.1""",ARBSAVH1241B9CA637,,,,Antonio Koudele,0,195.5522,7,0.77,88.12,3,1,Track BALLERINA GIRL,0
54,SOIMKZT12AB018B1DD,757136,Spirit of Brazil live,ARIYZFT1187FB5393E,,,,bMartn\xc3\xa1lia,0,242.59873,0,0.518,96.978,4,0.558,Brasil pandeiro,0
55,SOUVPPF12AB01855B1,369470,Samba Nouvelle Vague,AR3N2H11187B98AFBA,-10.68641,Itabaiana Para\xef\xbf\xbd Brazil,-37.42475,Sivuca,0,185.73016,5,0.552,181.239,1,0,Rapaz De Bem,0
56,SOSYTWT12AB0182AE4,540898,Zoo Palace,AROENEQ11F4C8451B1,,Texas,,The Lord Henry,0,239.59465,11,0,142.991,4,0,Is This Legal,0
57,SOAFZZF12AB0186C77,553628,The Best of Michael English,AR31BYO1187FB5336C,,,,Michael English,0,189.88363,2,0.865,123.29,4,0.91,Come On Home,0
58,SOOKCOH12A8C13AA44,251356,Taste the X,ARFRR9R1187B98A987,,,,Ultra X,0,209.13587,1,0.01,101.458,4,0.453,Break Em,0
59,SOERLWC12AB0187445,585025,20 Secretos De Amor - Los Iracundos,ARYN8YT1187FB38396,,,,Los Iracundos,0,149.36771,1,0.661,125.717,1,0,La Bambola,0
60,SOSJSMZ12AB0187EB3,696912,Love To Love,ARR2BHS1187B9B8FA7,,,,Minnie Riperton,0,224.67873,9,0.296,122.832,5,1,bLovin You,1974
61,SOEBFHP12AC468DA37,789783,Lange Presents Intercity Spring 2010,ARNLHY61187FB3A0C0,,United States,,Organ Donors,0,455.44444,8,0.459,134.07,4,0.542,Dr Kaotica,0
62,SOBQCYC12AB018748A,503553,Anchorman,ARCQCYR1187B99367F,46.53338,Aitkin MN,-93.70737,Jonathan Edwards / Will Ferrell,0,159.58159,10,0.25,83.985,3,0.518,Sunshine Anchorman Medley,0
63,SOIDEZW12A6D4F9655,53676,bLet Em Burn,ARHUIGM1187B9A5932,,,,Hot Boys,0,227.94404,4,0.096,93.859,4,0.917,Young Riders,0
64,SOIVWOX12CF5827585,83579,Bizarre Ride II,AR82DJK1187B991107,,Los Angeles CA,,The Pharcyde,0,315.97669,7,0.59,104.357,4,1,bIm That Type Of Ni**a,0
65,SOQARNP12A8C135A28,287223,X.O. Experience,ARLLUSZ1187B98ACDC,,,,Tha Liks,0,43.2322,11,0.062,97.067,4,0.712,Intro,2001
66,SOTEFFR12A8C144765,336537,Day & Age,ARVG4OK1187B9B6BD3,,,,The Killers,0,225.12281,11,0.116,134.734,1,0,A Dustland Fairytale,2008
67,SOMROYR12AB01893AD,513000,Bad Boy Dance Mixes Volume 4,AR93WAA1187FB42116,,New London CT,,Cassie,0,490.86649,10,0.052,82.005,3,1,Long Way 2 Go [Friscia & Lamboy Club],0
68,SONBMJI12A6D4F82B7,25838,Too Fast For Love,AREGV3K1187B9AF614,,Los Angeles California,,M\xc3\xb6tley Cr\xc3\xbce,0,201.40363,7,0.279,121.691,3,0.922,Merry-Go-Round,1981
69,SONWNNQ12A58A77AD6,766304,Soul Classics On Reggae Beats,AR5TQ1T1187FB59492,18.11526,Jamaica,-77.27348,Cornell Campbell,0,166.55628,5,0.528,88.843,1,0,Just My Imagination,0
70,SOHIPSG12AC46890BE,686742,John D. Loudermilk,AR5ZJLK1187B9B3A8E,35.99527,Durham NC,-78.89601,John D. Loudermilk,0,113.81506,7,0.015,87.714,1,0,Somebody Sweet,0
71,SOXNPLV12A8C1431C3,470414,Say Goodbye To The Camera,ARW2Y3Q1187FB38020,42.3519,Brighton MA,-71.14566,The Sterns,0,162.82077,9,0.565,188.481,4,0,Second Chance,0
72,SOKUIMB12A6D4F8AC6,23964,Alias,ARHG53Q1187B9ACBFC,32.67828,Georgia,-83.22295,Alias,0,274.15465,9,0.041,140.449,4,0.711,Standing In The Darkness,0
73,SOODKXT12AB01838B6,575275,Chapter One .. A Decade,AR1DLF21187FB3CBF0,,,,4Him,0,270.28853,2,0.479,120.077,4,0.818,Strange Way To Save The World,2000
74,SOMLVRX12AB0189DCE,715143,Before & After,AR6C6VO1187FB4E267,35.14968,Memphis TN,-90.04892,Tora Tora,0,248.16281,7,0,110.494,1,0,bThats Not the Way Loves Supposed to Be,0
75,SOYYBIA12A8C13894D,244326,Get Up and Dance - the Best of,AR08YJF1187B9B2D59,,Florida,,Freedom,0,245.49832,4,0.26,163.136,1,0,Caught - Special Way,0
76,SONZEZC12A8C14580,479760,Crashing Gates,ARRSIQ11187B98F216,34.05349,LOS ANGELES CALIFORNIA,-118.24532,Kevin Max,0,219.01016,9,0.493,88.002,4,0.331,bBaby_ Im Your Man,2008
77,SONQTUE12B0B80BA5A,15535,Home,AR97V5X1187FB4AE98,,,,Deep Blue Something,0,199.3922,0,0.429,158.244,4,0.927,bGammer Gertens Needle,1995
78,SOPGYHQ12A8AE47B30,278700,Lovers Rock,AR7N7MI1187FB46935,7.37884,Ibadan Nigeria,3.89527,Sade,0,160.62649,4,0.519,161.991,4,0.652,All About Our Love,2000
79,SOQZCBF12AB018644D,379517,Spanning A Lifetime,AR243ZT1187B9A98D2,32.29869,Jackson MS,-90.18049,Otis Spann,0,298.55302,5,0.644,89.518,3,0.684,Monkey Faced Woman,0
80,SOGOSEE12A58A78241,230932,Fiesta Tradicional Colombiana,AR6BYC41187B996DD0,,,,Pedro Laza Y Sus Pelayeros,0,157.93587,1,0,83.469,3,1,La Panadera,0
81,SOOIAGM12AB01862C7,762480,Owsley,ARPGYM11187FB4B1E1,35.83073,Tennessee,-85.97874,Owsley,0,348.02893,9,0.771,95.787,4,0.958,Class Clown/Good Old Days (Reprise),1999
82,SOVZNGE12AAF3B1E2A,322043,Rhythm & Blues Vol 9,ARD4LQ61187FB470F1,33.53584,Cullendale AR,-92.82984,Little Willie John,0,147.25179,8,0.681,105.653,1,0,Leave My Kitten Alone,1991
83,SOOINOI12A6D4FC8D0,272060,Feel Me,ARJANQY1187B9A82F7,34.05349,California - LA,-118.24532,Leana,0,228.15302,9,0.015,130.923,4,0,Pack Your Bags (Remix by Ralphi Rosario),0
84,SOVUFWU12A3F1ECA3C,445182,Roger McGuinn Live At The XM Studios  05/27/2004,ARQFPFK1187FB533E1,41.88415,Chicago IL,-87.63241,Roger McGuinn,0,264.69832,1,0.743,83.897,3,0.317,The Bells Of Rhymney,0
85,SOACMGG12AB0189F0D,777947,Black Rock,ARSHZBZ1187B98A445,,,,Joe Bonamassa,0,258.7424,7,0.735,75.064,3,0.741,I Know A Place,2010
86,SOTZWYD12A8C1392B7,209117,Proti Epafi,ARQSZLT124207825BA,,,,Konstantinos Galanos,0,219.71546,8,0.807,126.941,4,0.789,De Tha Kano Piso,0
87,SODNKBI12A8AE48AD0,279664,Int\xc3\xa9grale 81-91,AR7GOK91187FB455F5,48.85692,Paris France,2.34121,Jean-Jacques Goldman,0,358.60853,7,0.698,133.058,4,0.645,Je Marche Seul (Version Longue),0
88,SONAZLA12A6D4F80EF,80682,Harder Faster,AROLZEM1187B9A805E,64.55653,NORWAY,12.66538,Ashes to Ashes,0,191.92118,1,0.356,120.986,4,1,Mind On,0
89,SOPZJXE12A8C133E5D,87743,Texas - A Musical Celebration One Texas Shuffle,AR0VS771187B99564F,51.16418,DE,10.45415,Rocky Hill,0,339.51302,2,0.415,93.162,1,0.265,Hootchie Cootchie Man,0
90,SOPRXBS12A8C1323E8,619464,Atomic Boogie,ARWIMT21187B9B5AEC,39.10295,Kansas City MO,-94.58306,Big Joe Turner,0,159.16363,0,0.598,84.907,4,0.562,I Got My Discharge Papers,0
91,SOEAXUV12A6D4F8FA2,304975,Valse Avec Bachir,ARDG9Z71187B997023,51.50632,London England,-0.12714,Public Image Ltd,0,251.50649,9,0.007,127.369,4,0,This Is Not A Love Song,1983
92,SOFCCRW12A6D4FA064,71368,Kings Of The Texas Swing - Live,AR0CDSK1187FB52ED6,,Paw Paw WV,,Asleep At The Wheel,0,238.21016,11,0.046,122.166,4,0.738,The Letter That Johnny Walker Read,2002
93,SOWHXVQ12A8A9D59CA,133543,Party on my own,AR41ESB1187FB360B1,42.7316,BG,25.48312,Gloria,0,218.122,2,0.553,84.978,3,0.67,You are the summer,0
94,SOLICYE12AB017ED96,551858,Die Star Von Kleinkunst und Kabarett,ARPJMMD1187FB4BD47,,,,Curt Bois,0,153.52118,0,0.4,91.568,4,0.562,Lucindy,0
95,SOCAYHA12A8C13683A,154001,The Military Band - Salute to the Services,ARASWKT1187B9923B7,38.62774,St. Louis MO,-90.19951,Felix Slatkin/Concert Arts Symphonic Band,0,108.35546,5,0.83,92.499,4,0.629,The Star-Spangled Banner (1998 Digital Remaster),0
96,SOKHAME12AB017D3D4,329931,DJ Slugo Juke Chronicles Vol. 4,ARCZ42S1187B98C0D7,,,,DJ Slugo,0,193.04444,1,0.804,74.985,1,0,Vulture 4,0
97,SOKDHSI12AB0181587,443074,It Means Escape,ARMYKRB1187B98CFF0,,,,Cowboy Mouth,0,164.57098,2,0.995,85.268,4,0.063,My Little Blue One,0
98,SOJRCFG12A8AE44FBA,183294,New Skin,AR12P091187B99B50F,,,,Daylight Torn,0,225.07057,6,0.945,135.91,3,0.771,Sebastian,0
99,SODRBBP12A8C1385AF,101370,Tampa Red Vol. 5 (1931 - 1934),AR576O51187B990C30,31.90143,Smithville GA,-84.25274,Tampa Red,0,178.25914,0,0.767,109.961,1,0,No Matter How She Done It,0
100,SOXXVKU12A8C1426B6,371980,Fran\xc3\xa7ois Villon,ARJFDKM1269FB35F40,,,,Monique Morelli,0,136.07138,0,0.281,122.976,4,0.217,Mort,0
101,SOYQKLT12AB01841BC,441344,Cinema Do Mar,ARCID1N1187FB51DA0,,,,Carlos Nu\xc3\xb1ez,0,179.64363,11,0.79,131.986,5,0.285,bGabriels Oboe (La Mision),2007
102,SOBPZPS12A6D4F6EFA,26972,Semprini,AR9FEO71187FB5981F,,,,Semprini,0,517.0673,10,0.439,137.687,4,0.332,Rhapsody In Blue (2003 Digital Remaster),0
103,SOFOBSK12A8C1447C4,479604,Sirens,ARJGQJD1187B997A00,,Buffalo NY,,It Dies Today,0,179.40853,11,0.06,98.377,3,0.991,One the road (to Damnation),2006
104,SOVMTAW12A8C13B071,597439,bPraise God Im Satisfied,ARDK0551187FB5AC48,31.30627,Marlin TX,-96.89774,Blind Willie Johnson,0,172.25098,0,0,95.677,1,0,bGod Dont Never Change,1989
105,SOFAOMI12A6D4FA2D8,64501,Once Upon A Shattered Life,ARYXOV81187B99831D,,,,Seventh Day Slumber,0,209.73669,2,0.315,150.575,4,0.317,Shattered Life,2005
106,SOUWMIW12AB0184748,760072,The Unforgettable Grandpa Jones,ARQ91R31187FB38A88,37.82245,Niagra KY,-85.69091,Grandpa Jones,0,141.73995,2,0.101,119.271,4,0.15,Down In Dixie,0
107,SOQSJJL12AC46874BC,780921,111,AR0ILWV1187FB47CAA,39.75911,Dayton OH,-84.19444,Mouth Of The Architect,0,475.21914,3,0,124.562,3,0.989,Harboring An Apparition,2006
108,SOILDRV12A8C13EB77,171957,The Sporting Life,ARUUP4L1187B9B72E,32.71568,San Diego CA,-117.16172,Diamanda Galas,0,162.95138,5,0.86,162.133,4,0.668,Dark End Of The Street,0
109,SOJARSR12AB0184939,637025,Gift Grub 10,AROIHOI122988FEB8E,,,,Mario Rosenstock,0,187.14077,7,0.546,90.05,4,0.433,Munster Song (Best of 2009),0
110,SOJZLAJ12AB017E8A2,346402,Reality,ARS1DCR1187B9A4A56,,,,Winston Reedy,0,193.72363,1,0.931,118.123,4,0.205,Sentimental Man,0
111,SOAYONI12A6D4F85C8,41649,Collection,AR9JLBU1187B9AAEC4,-33.96243,Port Elizabeth South Africa,25.62326,Danny Williams,0,168.01914,8,0.223,77.072,3,0.597,The Wonderful World Of The Young,1998
112,SOBUUYV12A58A7DA27,149791,Return Of The Guardians,ARI4S0E1187B9B06C0,35.83073,Tennessee,-85.97874,David Arkenstone,0,314.5922,9,0.658,141.975,4,0.659,The Forgotten Lands,1996
113,SOLXXPY12A67ADABA0,691752,Sin / Pecado,AR4C6V01187FB3BAF4,39.55792,Portugal,-7.84481,Moonspell,0,386.19383,7,0.374,140.185,4,0.099,The Hanged Man,1998
114,SORZSCJ12A8C132446,86259,Nouveau Zydeco,ARAGMIV11F4C843F78,,,,"Myrick Freeze"" Guillory""",0,300.82567,0,0.297,137.663,4,0,Zydeco In D-Minor,0
115,SOPZACG12A6D4F9271,54944,Handel : Operatic Arias,AR3AIEI1187B992D8D,54.31392,Great Britain / UK,-2.23218,Marilyn Horne,0,282.14812,10,0.44,47.97,1,0,"Rinaldo : Act 1 Cor ingrato_ ti rammembri"" [Rinaldo]""",0
116,SOWLJJD12AF729D3F5,308324,Negatives,ARP7ILI1187B9AE9F7,,,,Phantom Planet,0,120.65914,6,0.554,105.902,4,0.878,Here I Am,2004
117,SODDBHT12AB0186B6E,569882,Blue [da ba dee] [2009 Remixes],AR6JVK31187FB58FE3,,,,Eiffel 65,0,390.00771,6,0.001,130.039,4,0.638,Blue [Da Ba Dee] [Gabry Ponte vs. HiFi Blueprint Remix],0
118,SOKPTHW12AB018AB51,710826,Mutiny: Deluxe Edition,ARKCYJV1187FB392E9,,San Francisco CA,,Set Your Goals,0,153.23383,8,0.683,131.639,1,0,This Very Moment,2006
119,SOHKLFL12A6D4FA150,123782,Kill Your Darlings,AR5ZVJ91187B99083A,51.05563,Ghent Belgium,3.72856,Soulwax,0,201.24689,0,0.536,111.223,5,0.951,Kill Your Darlings,1996
120,SOLXIWW12AC468805A,782395,Feeling,AR23MLO119B8668CDA,,,,Jaco & Mixxmaster,0,441.99138,1,1,136.981,4,0,Feeling,2008
121,SOERGHR12AAF3B2A52,384191,The Modern Recordings 1948-50,ARRWDU31187B9B5656,38.62774,St. Louis MO,-90.19951,Jimmy McCracklin,0,147.64363,2,0.397,101.241,4,0.819,Gotta Cut Out,2002
122,SOJTAWE12A6D4F8EAC,51317,The Lost Interview Tapes Featuring Jim Morrison - Volume Two: The Circus Magazine Interview,ARUGU0E1187B9B30F6,34.05349,Los Angeles California United States,-118.24532,The Doors,0,298.39628,0,0.214,66.155,1,0.461,The Trial_ Were You Scared? [The Lost Interview Tapes - Volume Two] (LP Version),0
123,SOQMALF12AAF3B4144,432951,Vocal House Diamonds Vol.2,ARYSHL01187B9AAEC7,,,,Hysterie,0,379.402,11,0.249,131.986,4,0,Be my Lover,0
124,SOTNLYM12AB0181695,484445,La Otra,ARXB7B21187B98BEF0,,,,Marisela,0,221.20444,1,0.736,134.192,4,0.532,La Otra,0
125,SOPUCKL12A6D4FB5A6,59794,The Path Of A Decent Groove,ARCZ20M1187FB49687,32.77942,Goodwill LA,-91.56123,Tony Joe White,0,329.35138,2,0.078,139.905,4,0.289,The Coloness Of The Chain,1993
126,SOLDLRC12AC907269F,600392,The Very Best of Nestor Torres,ARXJSHW1187B9A2A52,25.72898,Miami FL,-80.23742,Nestor Torres,0,280.2673,7,0.667,195.995,7,0.387,This Side Of Paradise,2001
127,SOYJHEW12A8C133A40,240644,Same !@#$ Different Day,AR0JPOG1187FB37383,,Japan,,Lyrics Born,0,313.15546,11,0.533,98.927,4,1,I Changed My Mind (DJ Spinna Remix),2005
128,SOWCJPI12AAF3B229C,321903,The Best of The Baltimore Consort,ARODOO01187FB44F4A,,,,The Baltimore Consort,0,240.40444,7,0.646,123.784,3,1,Howell\x19s Delight,0
129,SOBPTED12A6D4F99C7,41136,Serious Hits... Live!,AR9W3X91187FB3994C,,Chiswick London England,,Phil Collins,0,174.23628,11,0.237,206.941,7,0.755,bYou Cant Hurry Love (Live),1990
130,SOBPMLZ12AB01819E3,458578,Tipitina,ARA8O8L1187B9AD61D,30.79062,Bogalusa LA,-89.8643,Professor Longhair,0,179.93098,2,0.503,113.445,4,0.012,Hey Little Girl (1949),0
131,SOWVTAJ12A8C13C6D5,304405,Christmas Songbook,ARZVTZN1187FB579D4,32.20049,Galloway Panola County TX,-94.35887,Jim Reeves,0,108.19873,0,0.424,95.264,4,0.372,Jingle Bells,1963
132,SOTSKKZ12A6D4F71C4,28425,Ultra-Lounge / A Bachelor In Paris - Volume Ten,ARHCZHQ12086C11407,,,,Henri Rene And His Orchestra,0,168.54159,3,0.138,112.911,1,0.548,Petite Fleur (Instrumental) (1996 Digital Remaster),0
133,SOPYMLY12AC3DF67AE,775996,A Night At the Booty Bar,AR0S0EO1187FB490BE,38.62774,St. Louis MO,-90.19951,Disco D feat. Lola Damone & Helluva,0,226.61179,6,0.052,152.34,4,0.939,bKeys To The Whip (Straight Pimpin Mix),0
134,SOOFHUH12A8C1340A5,199800,I Can See You,ARQ76LG1187B9ACD84,34.05349,Los Angeles CA,-118.24532,Black Flag,0,133.25016,10,0.577,207.238,4,0,Out Of This World,1985
135,SOCWFVT12AB01890F8,727695,And The Beat Goes Om,ARI28VJ1187FB4EAD7,,,,Slackbaba,0,465.6322,0,0.67,88.644,5,0.607,Sea of Green,2006
