Lyrics,wordCount,charCount,avgWordSize,stopwords,numerics,upperCase,lowerCase,song_hotttnesss
"The room filled up with water and the roar of the crowd died down They didn't hold their breath, they just waited to drown Now, I'm just the ghost in the corner that nobody knows I'm just a chill in the air that comes and cuts you to the bone  I've never seen it shine so bright before I stumble blind into the light of it all ",69,327,3.865671642,34,0,1,60,0.755262765
"Sunshine go away today I don't feel much like dancing Some man's gone, he's tried to run my life Don't know what he's asking He tells me I'd better get in line Can't hear what he's saying When I grow up I'm going to make it mine But these aren't dues I been paying ",55,265,3.907407407,13,0,3,42,0.445454525
"Off top, peep this lil' four youngstas out Watch how they lay it down  Say baby, hand me the chopper, let me cuttin' loose Nigga talkin' crazy but lil' daddy ain't +BulletProof+ Put him in the water with the sharks, let me see if he can swim Ya playin' wit'cha life wodie, you hangin' on a limb Boy y'kno you scared and I know you is You been talkin' a whole lotta shit but lemme tell you this I'ma Hot Boy a-k-a the Juvenile Come in through your door with that iron - callin' ya out You want do? ya bitch you Got me all rav'd up and shit and I'm ready ta split you +Tha G-Code+ I live by it and die by it If you play with me - ya playing with ya life right This ain't no walk in the park - it's a walk in the pen Niggaz try'na take that ass, make it their girlfriends Na' eat that meat, fold my clothes 'cause all you niggaz ain't nothing but hoes  Nigga what? I don't give a fuck Lil' BGeezy show these niggaz you don't give a fuck  My presidents make a nigga break it off Be'cause they know if they don't off this earth I'ma take them off, nigga I play it raw You think about droppin' your nuts, better pick them up 'cause you and everybody wish that I'ma hit 'em up So nigga give me mine, don't make me have ta take it ",254,1223,3.88,99,0,4,211,0.405115722
"A Dustland fairytale beginning Or just another white trash county kiss In '61, long brown hair and foolish eyes  He'd look just like you'd want him to Some kind of slick chrome American Prince A blue jean serenade and ""Moon river"", what you do to me? I don't believe you  Saw Cinderella in a party dress But she was looking for a nightgown I saw the devil wrapping up his hands He's getting ready for the showdown I saw the minute that I turned away I got my money on a pawn tonight  A change came in disguise of revelation, set his soul on fire She said she always knew he'd come around ",117,588,4.17699115,35,0,8,91,0.760343237
"Ten times before it divided you Ten years ago to this very day Hello, I wish you well Theres no response, no companions here Cant read the signs or between the lines Goodbye, I wish you well  Now where are we going I dont know and I dont even care ",52,248,3.94,19,0,4,39,0.345802234
I can tell your beat up inside Your black and your blue And you don't know how to find the light Uh oh Tell me how to make it alright I've been through hell too And I've had my own poltergeist  You need to find peace Something beautiful please You need to find yourself  Love is the only way ,62,292,3.915254237,26,0,1,47,0.595926916
Its all about our love So shall it be forever never ending  After all this time After all is said and done  We have seen some suffering baby It has not always been perfect ,37,172,4,15,0,0,28,0.640688281
"  You better leave (meow) my kitten alone (meow, meow) You better leave (meow, meow) my kitten alone (meow, meow) I done told you big bad bulldog You better leave her alone (meow, meow)  Don't you know my kitten is a dream? Don't you know my kitten is a dream? So, get your hands off of her, 'cause I'm her lovin' man  *Mr. Dog I'm gonna hit you on the top a yo' head The Batgirl's gonna miss you ",83,397,4.038461538,21,0,1,65,0.460484845
"I know a place, where the dogs ain't right I know a place, where the sun don't shine I know a place, where the girls do the talking In the back of my mind, in the back of my mind  I know a place, little girl in your closet But running high, got a knife in his hand ",60,265,3.551724138,25,0,4,52,0.806399867
"Comme un bateau dérive Sans but et sans mobile Je marche dans la ville Tout seul et anonyme  Oh la ville et ses pièges Ce sont mes privilèges Je suis riche de ça Mais ça ne s'achète pas  J'm'en fous, j'm'en fous De tout De ces chaines qui pendent à mon cou J'm'enfuis, j'oublie Je m'offre une parenthèse, un sursis",62,314,4.216666667,1,0,0,47,0
"This is not a love song  This is not a love song This is not a love song This is not a love song Not a love song  This is not a love song This is not a love song This is not a love song This is not a love song This is not a love song Not a love song This is not a love song  Happy to have and not to have not Big business is very wise I'm crossing over into e-enterprize  Not a love song This is not a love song This is not a love song This is not a love song Not a love song, I know  ",120,485,3.210526316,54,0,1,93,0.87361876
"Johnny Walker sat at a table in a bar Minding his own affairs Drinking his namesake over the rocks He was drunk, too drunk to care  When a girl from the bar walked up beside him And this is what she said She said, a woman came by with a letter for you And this is what the letter said  Dear John, please, Johnny, please come home I need your love and the kids, they gotta be fed And John, if you don't hurry back I'll be gone Yes, that's what the letter said ",97,459,3.861702128,42,0,1,77,0.580704293
What was once held so close Has decayed All hope turned to dust  What was once held so close Has decayed All hope turned to dust  ,29,130,3.923076923,8,0,0,20,0.690970954
"At the dark end of the street That is where we always meet Hiding in shadows where we don't belong Living in darkness, to hide alone You and me, at the dark end of the street You and me I know a time has gonna take it's toll We have to pay for the love we stole ",58,262,3.596491228,27,0,1,49,0.323112121
"Close your eyes, come with me And we soon will be In the wonderful world of the young  Hearts remain 17 ",23,104,3.904761905,9,1,0,16,0.334706549
"Put your arms around my neck Just like a pathetic lace of death Displays like a tarot deck I am the card of the hanged man And here I stand With a flame on my hand Do you understand?  If there is hope for me She is flirting with the breeze On a peculiar choreography With the dead arms of some old southern tree  Silently, lips sealed against me Silently, wanna walk with me?  And it makes you wanna know ",84,405,4.025,30,0,2,65,0.594079585
"I value you more than you will ever know!  I know I'm not the only one concerned about where this has gone. The feelings that we both once shared, they still exist, they went nowhere.  And you, you know it's true. For you I am still here! I'd hate to see it end this way. It plagues my conscience every day. And I want nothing more. All I need lies in you! Don't say this is the end.  I know I'm not the only one who wishes we could get along. Hanging out from 8 to 3, and never wanting to fall asleep.  I just hope that you will work with me to make this right. ",121,563,3.818965517,48,1,7,96,0.659230577
"There's a script - but I ain't writin' Left that stage all in my mind Cause I'm not hip to your sign language Sticky fingers of a different kind The same word, foreign language In the same season, they killed you twice For the sake of human nature Sweet smell shotgun for the hip and blind  She strokes the gun - feel how it's warm Got a mouthful dirt and razors It'll cut right through last month's flavour ",80,408,4.217948718,27,0,1,63,0.504034341
Nada duele como ser De un hombre la mujer Que siempre ve a escondidas la que espera siempre fiel Una llamada de el cuando la necesita  Nada duele como amar Sabiendo que el amor no es tuyo por completo Como puedes comprender que ,45,228,4.279069767,3,0,0,36,0
"Well I came at you a young boy, girl With no experience. Year in year out We had our ups and downs But I always took it serious.  I made a joke I played the fool I took time, made all the plans. I know I told you that we were Supposed to have something Made for this weekend But I changed my mind.   I changed my mind. I changed my mind I changed my mind And I changed my mind   Well it started getting cozy, girl I let you control the reins. And despite what I knew to be true I'd hoped that things would change.  I'd even say I can't completely blame But I even take 'cause was situations in ",129,594,3.819672131,36,0,16,92,0.443291312
"I need love, love Ooh, ease my mind And I need to find fine Someone to call mine  My mama said ""You can't hurry love No, you'll just have to wait"" She said ""Love don't come easy But It's a game of give and take""  ""You can't hurry love No, you'll just have to wait Just trust in the good time No matter how long it takes""  How many heartaches must I stand Before I find the love to let me live again Right now the only thing that keeps me hanging on Is to feel my strength, you know it's almost gone  But remember mama said ""You can't hurry love No, you'll just have to wait"" She said ""Love don't come easy ",128,606,3.894308943,38,0,4,96,0.457447167
"James Lord Pierpont publ. 1857  (Jingle ling a ling, Ahhh) (Jingle ling a ling, Ahhh)  Dashing through the snow In a one-horse open sleigh, Oer the fields we go, Laughing all the way; Bells on bob-tail ring, Making spirits bright, What fun it is to ride and sing A sleighing song tonight  Jingle bells, jingle bells, ",60,317,4.607142857,14,1,1,39,0.468997788
I'm out of this world and I'm never comin' back Ever since that day by the side of the road I got a smile on my face and I'm never coming to never coming to never coming to  I'm leaving today and I'm never coming back Killed by a girl by the side of the road  I'm out cold and I'm never coming to I'm out cold and I'm never coming.  I love I love I love I love I love I love I never love I never love I never never never never what I mean to say What I tried to say is that I never never got my way  I'm out of this world and I'm never comin' back Ever since that day by the side of the road ,137,592,3.454545455,43,0,13,104,0.579038701
"I don't wanna grow up cuz I'm a True Fuschnick We got a million styles that we compile That we can play with I'm a True what? I am a True Fushnick Repeat 3X So sit Buddah sit what lyrical styles should we kick? I'm a rowdy roddy piper I flash my dread sherlock Holmes The thicker the richer the bigger the dread So I don't need no honeycomb So eeney meeney miney mo good goobelly goo I bumped my toe Oh-oh, ""oh-oh better get Maoco"" chocolate Chip's about to flow The super the cola the fraja the listic expialadope Chip When the mic is gripped in ridobidobip bip da be bong de dang, Bo! Cuz worries and boderations when i raps it up again and again But not with the same FU style I'm wicked and wild and versatile When the mic is gripped by Chip you better believe it's worth your while Pause for the cause stop make way hurry up Here I come come come My lyrical styles are not to ifos nos in other words They're not soft son rocks it rigade raggamuffin say it backwards Aggarniffum so abra Fu alacazam run come follow me man Put it by one phenomenon huminahumina I'm not done Me-oh-me oh my hello hello hi I'm not Huckleberry Finn I'm still speaking, shoo, fly Don't bother i So Fe hello hifi Fu fo, i make shapes with Pay-dough re me Near far then I will stitch sew Lipton Tea bo Tae Kwon Do Lyrics are bubbling, bubbling, bubbling, bubbling, bubbling, bubbling,*bubbling,*bubbling,*bubbling,*bubbling,*bubbling,*bubbling, bubbling til' they're boiled So don't drink the milk, Why? Cause it's rotten in other words it's spoiled So don't say drats, drats double or triple or quadruple drats Me big and me black and me hot up de spot G jumping Jehosphats ",305,1655,4.444078947,93,0,10,234,0.644823658
Well I'm feeling real sick-who's got the remedy? My life- under your authority Can't see straight-no visibility Break it down- to the first degree  God damn think I lost my head again ,34,184,4.71875,8,0,1,25,0.665160008
Now I'm lost Now I'm lost Now I'm lost Now I'm lost  Last night I heard lepers Flinch like birth defects It's musk was fecal in origin As the words dribbled off of its chin  It said I'm lost I'm lost Now I'm lost Now I'm lost Now I'm lost Now I'm lost Now I'm lost Now I'm lost  ,63,279,3.677966102,6,0,1,31,0.928616842
"Trash, go pick it up, take them lights away Trash, go pick it up, don't take your life away Trash, go pick it up, the doctor take my knife away And please don't you ask me if I love you If you don't know what I'm doing What you know is,  Trash, go pick it up, take them lights away Trash, go pick it up, don't throw your love away Trash, go pick it up, the doctor take my knife away And please don't you ask me if I love you Cause I don't know what I do What I know is, ",104,470,3.598039216,34,0,5,84,0
Je suis un aventurier Et j'ai beaucoup bourlingué. J'ai fait la vie à Varsovie. J'ai fait le mort à Baltimore. J'ai fait le rat à Camberra. J'ai joué aux dés à Yaoundé. J'ai joué aux dames à Amsterdam. J'ai fait des games à Binningham. Je suis un aventurier Avec lequel il faut compter. Je suis un aventurier Avec lequel il faut compter.  J'ai été à Bornéo. J'ai été pompette à Papeete. J'ai bu de l'eau à Bordeaux. ,79,416,4.38961039,0,0,0,53,0.499445835
"Mellencamp John Cougar The Lonesome Jubilee Down And Out In Paradise Dear Mr. President I live in the suburbs It's a long way from Washington, D.C. Had me a job Workin' for wages Till the company moved out And they forgot about me Can't draw unemployment For some unknown reason My kids are hungry I've got four mouths to feed I go out everyday lookin' for suitable employment Do you think there's something you could do for me Cause I'm  CHORUS Down and out here in paradise Down and out and I'm on my knees ",97,509,4.347368421,31,0,4,61,0.450762242
"Ya nadie lo pone en duda por maestria y calidad, sos el capo del choreo, punga tu especialidad, el terror de los bolsillos, pero al pobre no afanas por un misero aguinaldo no te me vas a ensuciar.  Te das vida de magnate la tenés y la tirás, como llega el mango fácil ",55,268,4.037735849,6,0,0,51,0.445454525
"OPENING SCAT (dip-dip, dooba bop bop) (dip-dip, dooba bop bop)  I hardly ever thank the stars above For sending me your very precious love You never hear me say a prayer Of thanks to someone 'way up there Who gave me such a lucky *break*  Oh, no, darling Only with ev'ry breath I take  And every time we have to be apart ",66,321,4.129032258,18,0,4,51,0.73292413
Choose ye this day whom you'll serve - God or man Choose ye this day whom you'll serve - God or man  Lead How long must we try to hide and when will we finally realize That the Lord's coming back He's coming back like a thief in the night Go watch your step you better get it right  ,62,283,3.762711864,21,0,0,47,0.334706549
"Here I am my knees are on this floor again Take away my pride, reveal this heart within And send Your rain of mercy, let the healing begin 'Cause You've brought me to this place and I can honestly say That slowly I've forgotten all the where's and why's Forgotten all the times You've been right by my side And I've begun to think that life has passed me by ",71,358,4.114285714,28,0,2,56,0.375984302
"strophe 1: du fragst woher ich mir das recht nehm immer andre zu dissen? woher nimmst du dir denn das recht dich in meinen scheiß einzumischen? ihr ganzen heulsusen habt keinen plan, also checkt mal den: bevor ihr mich ahnt, mÜsst ihr erst das prinzip von rap verstehen. es geht um das, was ich denk. was soll der ganze andre scheiß? deine kritik trifft mich grad mal so hart, als wenn du watte schmeißt. ich weiß immer was ich sag, nur sag nich alles, was ich weiß, wenn du moderne klassik schreibst, is es wichtig, daß du sachlich bleibst. und glaub nich, daß ich dir das ganze rap-ding nochmal erklÄr, bei so 'ner art von kritik, sag ich: verpiss dich! nich mehr. mir latte ob du meine platte magst, hauptsache du kaufst sie, denn ich find 's lustig, wenn so 'n trottel wie du geld fÜr mich ausgibst. ",149,804,4.432432432,9,0,0,144,0.550561797
Hard times are fallin' on you Even when you smile I see the hurt come through And I know it feels like it's never gonna end You say nothin's been right for a long time And every step you take is an uphill climb I see you're reachin' out So let me tell you friend that  Better days are comin' around I know you feel like The whole world's gone and let you down but Better days they're comin' for you I know they will 'Cause I'll be right here makin' sure they do  And if your sky ain't lookin' the fairest ,105,505,3.931372549,37,0,5,85,0.517789044
"(C. Singleton)  Please don't tell me if your not real Let me keep feelin the way I feel I'm bubblin over, with love supreme And if I'm dreamin, just let me dream.  Aha please don't wake me if I'm asleep ",43,203,4.025,14,0,2,30,0.38293509
"Arrived we to the days ov our beginning To the City ov God clothed with the mists Enslaved by life we danced spinning In the taverns of time we used to sit And drunk with memories Dead moments glorified  I saw the phantoms ov Golgotha Legion Legion Fed on dust ov dead Anoited by the grey ash Mad, twisted mob ov Jerusalem  Then Raphael beyond me and night appear'd ",72,366,4.275362319,20,0,1,51,0.620458374
"For all the times I felt cheated, I complained You know how I love to complain For all the wrongs I repeated, though I was to blame I still cursed that rain I didn't have a prayer, didn't have a clue Then out of the blue God gave me you to show me what's real There's more to life than just how I feel And all that I'm worth is right before my eyes And all that I live for though I didn't know why Now I do, 'cause God gave me you For all the times I wore my self pity like a favorite shirt ",107,491,3.632075472,43,0,12,82,0.334706549
"Coming to you live by satellite From a secret side of town No mistaking, bonds are shaking Walls are breaking down You can walk across the border tonight Unafraid to cross that line Breathe the fresh air, kiss the free ground Leave your dark shadows behind  What will you do with your new liberation Open your heart to the God of Creation  Freedom People cry for freedom Freedom without Jesus Is just another war Freedom Give the people freedom Give the people Jesus Or they've got nothing at all ",92,497,4.561797753,30,0,0,67,0
"Close the door, put out the light you know they won't be home tonight the snow falls hard and don't you know the winds of thor are blowing cold they're wearing steel that's bright and true they carry news that must get through They choose the path where no one goes ",52,266,4.215686275,21,0,0,49,0.71404746
"Uhh, purple, uhh, yeah, it's Dogghouse y'all  (Bad Azz x2) See me, I be about my dollars In my own world, wit my own girls poppin collars I'ma G, we, be up for the Impalas wit the juice, gettin loose on y'all, I make ya holla  (Bad Azz) I make ya feel like ya drunk, you on a gallon of strong gin What's happenin, it's a party crackin up in my play pen The play pen party is poppin, it's strait line up It's an after Aftermath party and my bed's smelly bottom Oh you gone, I see real wierd 'til it's over When we leave, we gon' peel out in the limo wit the chauffeur Wit the doja, gat, Congnac and some soda, uhh, uhh (c'mon, c'mon)  (Kola - Doggy's Angels) Who make 'em chat? Angels rule the world Who make these niggaz wanna leave their girl? (Kola, Kola!) Who got the turk to the dirt? Throwin nose and dope Got niggaz cummin from the lyrics I quar (Kola, Kola!) Dogghouse checkin niggaz wit the switch in their walk Niggaz would talk, slept wit my, leave 'em in chalk Keep it pimpin (truly!) Got 'em screamin (ooh wee!) ",203,1024,4.130653266,56,0,6,157,0.427446571
We're all brothers of tomorrow (we won't have to talk) we won't need to talk We won't need to walk on tomorrow Rush comes the love shapes to share shapes Love love love on tomorrow baby spring son yellow wings red skies showing on Lively ivy growing on tomorrow ,50,262,4.346938776,16,0,0,44,0.701097127
Parnell  Voodoo power in the air Mushroom's sticky sweet flower just siiting there ,15,83,5.307692308,4,0,0,10,0.619596042
"Ah, push it Ah, push it  Ooh, baby, baby Baby, baby Ooh, baby, baby Baby, baby Get up on this Ah, push it Ah, push it Ah, push it Get up on this Ah, push it Get up on this  Ow! Baby! Salt and Pepa's here Salt-salt-salt Salt and Pepa's here Salt-salt-salt-salt Salt and Pepa's here! Salt and Pepa, Salt and Pepa Salt and Pepa's here Salt-salt-salt Salt and Pepa's here  Now, now, now wait a minute y'all This dance ain't for everybody Only the sexy people So all you fly mothers Get on out there and dance Dance I said ",105,518,4.099009901,36,0,1,62,0.806119769
I don't want to be blind I don't want to be tied up in this pain It's a guilt thing It's a blood drive Our final kiss of this world Can't rescue us Help me God I can't control myself I don't want to be blind Don't want to be vain I don't want to be tied up in this pain I don't want to be vile ,68,294,3.388059701,29,0,6,54,0.731282
Can you see me Floating above your head As you lay in bed Thinking about everything That you did not do Cause saying I love you Has nothing to do with meaning it  And I don't trust you Cause everytime you're here Your intentions are unclear I spend every hour waiting for a phone call That I know will never come I used to think that you were the one Now I'm sick of thinking anything at all  You ain't ever coming back to me That's not how things were supposed to be ,96,468,4.010752688,39,0,5,73,0.787210098
Look at you! With your branches hanging down How do you move without the wind? Flowers bloom upon your arms without sunlight You must be planted in sin  I'm not some kind of demon You cannot judge every word that I say We're not combined in some sort of cosmic web We are just insignificant  I'm a sinner You're a saint But in the eyes of God ,70,343,4.089552239,24,0,1,53,0.473346541
"Now Bony he has gone from his wars all a-fightin' He has gone to the place where he takes no delight in. And there he may sit down and tell the sights he's seen of When full long doth he mourn on the Isle of St. Helena. No more in St. Cloud will he'll appear in great splendor Nor step forth from the crowdlike the great Alexander, He may look to the east, while he thinks of Hana, with is heart full of war, on the Isle of St. Helena ",91,435,3.833333333,39,0,0,72,0.375984302
"Da da, da da  Ah, ho-oo-oh-oo  Fearless people, Careless needle. Harsh words spoken, And lives are broken.  Forceful ageing, Help me I'm fading. Heaven's waiting, It's time to move on.  Crossing that bridge, With lessons I've learned. Playing with fire, And not getting burned. I may not know what you're going through. But time is the space, Between me and you. Life carries on... it goes on.  Just say die, And that would be pessimistic. In your mind, ",84,454,4.756410256,17,0,1,55,0.352232225
"I'm feelin sick inside cause I can't believe it's happening I thought that he'd be gone by now We were on a break and you said you needed space to breathe I didn't know your ex was in town  I finally figured it out  Chorus: You're heartless The devil in disguise So heartless You make me feel just like I'm helpless, foolish, selfish, so alone So heartless  When I asked you what happened You sat there and lied to me An swore you were just hangin out So why'd you look so scared baby every time the phone would ring? And how do you explain the stains I found?  I finally figured it out  ",120,588,4.114035088,41,0,7,93,0.646151234
"Olvido todo ese frío reunido de una sola vez De vez en cuando, cada tanto los juegos prohibidos Nos sacan ese frío Escurro entre tus dedos, tus canciones, tus mitos, hoy Y es que estamos desesperados Por encontrarnos y vernos hoy Y vernos hoy que  Más deseo, más me alejo Soy un extraño aquí en mi cuerpo Tanta calma desespero Salgo mucho, a veces vuelvo  Más deseo, más me alejo Soy un extraño aquí en mi cuerpo Tanta calma desespero Salgo mucho, a veces vuelvo ",88,463,4.423529412,5,0,2,70,0.57228319
the way you treat me baby cheat and tell me lies I guess I shouldn't care at all but still I sympathize cuz you got heart trouble coming on yeah you got heart trouble coming on well you think you don't need me baby but you're gonna miss me when I'm gone  ,54,255,3.884615385,21,0,3,48,0.215080319
"Entonces te besé, fue como imaginaba Entonces pude ver que no me equivocaba Tanto soñar que te encontraba Tantas canciones de ti hablan Entonces a ver lo que pasa Entonces, cruzar las miradas Entonces, ya no te me escapas ",40,222,4.692307692,5,0,0,32,0.324058699
"Had a bad day, don't talk to me, gonna ride this out, My little black heart, breaks apart, with your big mouth.  And I'm sick of my sickness Don't touch me, you'll get this. I'm useless, lazy, perverted, and you hate me.  You can't save me, You can't change me, Well I'm waiting for my wakeup call, And everything, everything's my fault.  Went to the doctor, and I asked her, to make this stop. (whoa) Got medication, a new addiction, Fucking thanks a lot.  I had to relapse, I'm bad at rehabs It ruins everything. (whoa) So point your finger, at the singer, ",108,559,4.388349515,27,0,2,84,0
"I am the first black astronaut To walk the bare moon, from my air balloon I am the first black astronaut To walk the bare moon... (Or possibly, one of the great all-time bus-drivers.)  It's the resurgence of the happy black rappers But our African medallions are handicap placards. I am alphabetized in the ""modernized retro"" And my press photos are wallet sized. My rent's low. Why don't you shape me? I'm malleable flesh and putty and a salad bowl with? dressing and assimilated into urban fuel testing Dress and doggy are coveted by a sexy bunny afraid I'll add her to my burlesque show. Who's slipping the ring finger of the lead singer? fresh bowl. ? bitches rule with bee stingers but I'm refreshed though. It's home of the black speed rader. Perplexed or blurb stretched Dude adjusted? but the bird's nest is low. Which means I'm commonplace. Til the boy and me traveled the country in wooden spaceships On the phone cussing at deep-booking agents. I wield words that have come from the country with the underground who's-who But I feel like I've been sodomized with a billiards pool cue.  I am the first black astronaut To walk the bare moon, from my air balloon. Pound my beliefs into the desired shape And put them sound asleep in the fireplace. ",225,1256,4.648648649,72,0,6,189,0.55964661
"Well, I heard the news There’s good rocking tonight Well, I heard the news There’s good rocking tonight  I'm gonna hold my baby As tight as I can Tonight she'll know I'm a mighty, mighty man I heard the news There's good rocking tonight  I say, well, meet me in a hurry Behind the barn Don't you be afraid, darling ",63,315,4.216666667,13,0,5,44,0.503381236
"Turn the heat up, turn the fucking heat up Turn the heat up, turn the fucking heat up Turn the heat up, turn the fucking heat up Turn the heat up, turn the fucking heat up  You like a birth defect, press select for the blue's dog I'm the direct descendant of Desade Control freaks act like God, detached from the species I sling demon feces, a beastie learns from what he sees  Forever night time, it's high time, I got mine I spread through the crowds mind like evil through mankind 90's was crazy, mothers suffocate babies Jeffrey Dahmer, you are the Devil's children ",108,570,4.40952381,31,0,3,89,0.660680598
,1,,3,0,0,0,1,0.270775999
"Momma, Papa, please talk to you daughter for me Momma, Papa, please talk to your daughter for me She done made me love her and I ain't gonna leave her be  Hey, Baby, please don't dog me around Yeah, Baby, please don't dog me around If you don't quit your fooling, put ya 6 feet in the ground  You should talk to your daughter You should talk to your daughter ",73,359,4.1,28,1,1,56,0.557187768
"I hope you can see what I can see. I hope you can hear what I can hear. Because it’s not easy, because it’s not easy. I hope you can feel what I can feel. I hope you believe what I believe. Because I feel lonely, because I’m so lonely. ",51,236,3.72,19,0,9,38,0.527818137
The moment I saw you my heart knew it was forever You touched me and I swear I knew then and there that I'd never No I never Want somebody else to hold me Let another's arms enfold me Never never want nobody but you  And then you kissed me And whispered tenderly ,55,263,3.943396226,18,0,4,40,0.629768365
"Astley/Fisher  I walk the wire every night I can't decide between wrong and right I've lost control over the thing I do Cos I'm hopelessly falling in love with you  Now the one who never took a chance Becomes a victim of circumstance I've lost my way, now I'm so confused ",54,272,4.294117647,17,0,3,40,0.574882892
So good at doing What you don't do Just trying to protect yourself And other fools like you So well practised In your deceit Behind the high walls of stupidity Your endless conceit Behind the locked door The sleeping dog you beat I hope I see the day ,49,251,4.229166667,15,0,2,36,0.494489518
"Your voice is adrift, I can't expect it To sing to me As if I was the only one  I'll follow you The leaf that's following the sun When will my weight be too much for you? When will these ideas really be my own? Cause this moment keeps on moving We were never meant to hold on  ",61,277,3.74137931,24,0,2,47,0.737850332
The other day I walked out on the street I happened to see A pretty young woman a little bitty boy and he looked back at me See the big man cry mama that's what I heard him say See the big man cry mama he looks like his heart will break ,53,237,3.557692308,17,0,4,45,0.426646585
"Something about the way, your eyes lately Look up and down and everywhere but me, yeah Something about tonight I know is missing And I know it's more than insecurity, yeah  After all All the time we've spent together Don't you think I'd feel something  If I have to read your mind Well, maybe we're just wasting time Tell the truth  You know my heart is in your hand So give it up or make a stand Or just tell the truth Come on, tell the truth  There's no sense in going on this way, baby You know it's time to say what you mean There's no sense in going out trying to replace A love that never came clean ",125,606,4.016666667,45,0,4,98,0.442234595
"Peligroso es andar por la ca la calle del ga del gato que pes que pesca y después se esconde y escapa-pa, pa-pa  Lo ves o no lo ves al gato que pes Allí, allí Sentado en su ventaní  A la gente que pasa distraí el gato bandí con caña y anzué les pesca el sombre sombrero y el moño-ño, ño-ño  Lo ves o no lo ves al gato que pes Allí, allí Sentado en su ventaní  ",82,360,3.623376623,8,0,1,69,0
You are the sun and moon and stars are you And I could never run away from you  You try at working out chaotic things And why should I believe myself not you? ,35,159,3.787878788,14,0,2,27,0.545937381
