SongNumber,SongID,AlbumID,AlbumName,ArtistID,ArtistName,Duration,KeySignature,KeySignatureConfidence,Tempo,TimeSignature,TimeSignatureConfidence,Title,Year,song_hotttnesss,Lyrics
11,SOOAMWT12A8C13B479,251204,Dinosaur,AR9YWMS1187FB43A34,Dinosaur Jr.,198.53016,0,0.456,185.452,1,0,Does It Float,1985,0.587426507,"The rain has washed my dog with fear A question people think, I call a friend And the next wave is valentine  See yourself call, no big deal Ever since that's not a fear Wishin' the lamp would shine And beam me at it, give me some fuel  Find a way, to clog it up alone Terrified, the way you stand ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
12,SOLYUTF12A8C133225,238242,Them,ARNVM131187B990D2,themselves,271.43791,1,0.617,167.885,4,0.465,Crayon Sharpener,2003,0.428702263,
13,SOASHZJ12A8C1426D8,311098,The Soul Of Jazz (Jazz Club),AR9ST641187B99B4DE,Cal Tjader,199.75791,9,0.283,143.764,1,0.137,Along Comes Mary,0,0.405115722,
14,SOYYFNE12AB018A96D,774026,From Hell...With Love,ARJ8PZJ1187B99314F,Aiden,241.03138,7,0.705,125.653,4,1,Die Romantic [Live],0,0.47212112,"You can illustrate a life in romance. But, I can show you something so much more than words, In my hands. That's your best intention, now, to burn your friends? This is your last night, this is your last chance. (In my hands)  (Die romantic, romantic) This is the nightmare, we fall asleep. (Die romantic, romantic) This is the nightmare we don't complete. Tonight's the night, and it's all we need, now. (To die romantic)  I sat and watched your heartbeat fade with every breath. I watched your lips turn blue, your eyes went cold and all, with all the rest. I hold the panic, try to breathe. Is this happening? I've fucking had it. ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
15,SOIRKJL12A8C13A2AA,298352,Ultimate Toni Braxton,ARAEX7Y1187FB42D36,Toni Braxton Featuring Babyface,240.61342,10,0,103.832,4,0.986,Give U My Heart,2003,0.319565987,Your love's so exciting Boy I can't deny it Since you found a place in my heart Givin' me a feeling Ooh it's such a feeling I pray that we never will part  How can I explain it? Please hear what I'm sayin' You bring so much joy to my life Words cannot express So much happiness I'll forever be by your side  And I will give you my heart And I will always be true to you And I will love you forever If I could just make love to you Make love to you  Girl I must confess it You've been such a blessin' ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
16,SOXVMZV12A8C142488,476059,Georgiavania,ARWHVAC123E29C221D,Willie Isz,338.72934,1,0,83.573,1,1,Violet Heart Box,2009,0.385950834,
17,SOPLYEI12AB0181C03,446698,Count Me In,AR6KNZ01187B9A35D1,Justo Almario,243.43465,7,0.768,216.557,7,1,In Your Dreams,1995,0.37011948,
18,SOKASWV12AB01857B5,631067,Strata Presents The End Of The World,AR4IWYN1187FB47DF6,Strata,201.27302,5,0.426,125.562,4,1,Night Falls (The Weight Of It),2007,0.755262765,"The room filled up with water and the roar of the crowd died down They didn't hold their breath, they just waited to drown Now, I'm just the ghost in the corner that nobody knows I'm just a chill in the air that comes and cuts you to the bone  I've never seen it shine so bright before I stumble blind into the light of it all ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
19,SOQFUXL12A8C136D6,702264,Meu P\xc3\xa9 Meu Querido P\xc3\xa9,AR1PQYO1187B98BEC9,H\xc3\xa9lio Ziskind,60.70812,11,0,200.617,4,0.379,Cocoric\xc3\xb3 (Abertura),0,0.229144104,
20,SOOJXKD12A58A7AB3C,239051,Precious Little,AR695PK1187B996E35,Jeremy Spencer,289.77587,0,1,92.433,3,0.574,It Hurts Me Too,2006,0,
21,SOAJZJM12A6D4FA033,50589,Jazz Age!,ARGDLJR1187B98D048,Bob Crosby,173.73995,2,0.715,119.763,4,1,The World Is Waiting For The Sunrise,0,0.405115722,
22,SOSBXWX12A6701D235,15555,"bLive Era 87-93""""",ARM7EDF1187B9B3FA1,"bGuns N Roses""""",402.36363,6,0.741,122.838,4,0.554,Patience,1988,0.502211221,
23,SOQLKYX12A8C13A7A,296910,Piano Masterpieces,ARY8LJ11187FB4019,Floyd Cramer,117.4722,2,0.186,83.724,4,0,Near You,1964,0,
24,SOIMKZT12AB018B1DD,757136,Spirit of Brazil live,ARIYZFT1187FB5393E,"bMartn\xc3\xa1lia""""",242.59873,0,0.518,96.978,4,0.558,Brasil pandeiro,0,0,
25,SOAFZZF12AB0186C77,553628,The Best of Michael English,AR31BYO1187FB5336C,Michael English,189.88363,2,0.865,123.29,4,0.91,Come On Home,0,0,
26,SOEBFHP12AC468DA37,789783,Lange Presents Intercity Spring 2010,ARNLHY61187FB3A0C0,Organ Donors,455.44444,8,0.459,134.07,4,0.542,Dr Kaotica,0,0,
27,SOBQCYC12AB018748A,503553,Anchorman,ARCQCYR1187B99367F,Jonathan Edwards / Will Ferrell,159.58159,10,0.25,83.985,3,0.518,Sunshine Anchorman Medley,0,0.445454525,"Sunshine go away today I don't feel much like dancing Some man's gone, he's tried to run my life Don't know what he's asking He tells me I'd better get in line Can't hear what he's saying When I grow up I'm going to make it mine But these aren't dues I been paying ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
28,SOIDEZW12A6D4F9655,53676,"bLet Em Burn""""",ARHUIGM1187B9A5932,Hot Boys,227.94404,4,0.096,93.859,4,0.917,Young Riders,0,0.405115722,"Off top, peep this lil' four youngstas out Watch how they lay it down  Say baby, hand me the chopper, let me cuttin' loose Nigga talkin' crazy but lil' daddy ain't +BulletProof+ Put him in the water with the sharks, let me see if he can swim Ya playin' wit'cha life wodie, you hangin' on a limb Boy y'kno you scared and I know you is You been talkin' a whole lotta shit but lemme tell you this I'ma Hot Boy a-k-a the Juvenile Come in through your door with that iron - callin' ya out You want do? ya bitch you Got me all rav'd up and shit and I'm ready ta split you +Tha G-Code+ I live by it and die by it If you play with me - ya playing with ya life right This ain't no walk in the park - it's a walk in the pen Niggaz try'na take that ass, make it their girlfriends Na' eat that meat, fold my clothes 'cause all you niggaz ain't nothing but hoes  Nigga what? I don't give a fuck Lil' BGeezy show these niggaz you don't give a fuck  My presidents make a nigga break it off Be'cause they know if they don't off this earth I'ma take them off, nigga I play it raw You think about droppin' your nuts, better pick them up 'cause you and everybody wish that I'ma hit 'em up So nigga give me mine, don't make me have ta take it ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
29,SOTEFFR12A8C144765,336537,Day & Age,ARVG4OK1187B9B6BD3,The Killers,225.12281,11,0.116,134.734,1,0,A Dustland Fairytale,2008,0.760343237,"A Dustland fairytale beginning Or just another white trash county kiss In '61, long brown hair and foolish eyes  He'd look just like you'd want him to Some kind of slick chrome American Prince A blue jean serenade and ""Moon river"", what you do to me? I don't believe you  Saw Cinderella in a party dress But she was looking for a nightgown I saw the devil wrapping up his hands He's getting ready for the showdown I saw the minute that I turned away I got my money on a pawn tonight  A change came in disguise of revelation, set his soul on fire She said she always knew he'd come around ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
30,SOMROYR12AB01893AD,513000,Bad Boy Dance Mixes Volume 4,AR93WAA1187FB42116,Cassie,490.86649,10,0.052,82.005,3,1,Long Way 2 Go [Friscia & Lamboy Club],0,0.215080319,
31,SONBMJI12A6D4F82B7,25838,Too Fast For Love,AREGV3K1187B9AF614,M\xc3\xb6tley Cr\xc3\xbce,201.40363,7,0.279,121.691,3,0.922,Merry-Go-Round,1981,0.623235993,
32,SOHIPSG12AC46890BE,686742,John D. Loudermilk,AR5ZJLK1187B9B3A8E,John D. Loudermilk,113.81506,7,0.015,87.714,1,0,Somebody Sweet,0,0,
33,SOKUIMB12A6D4F8AC6,23964,Alias,ARHG53Q1187B9ACBFC,Alias,274.15465,9,0.041,140.449,4,0.711,Standing In The Darkness,0,0.345802234,"Ten times before it divided you Ten years ago to this very day Hello, I wish you well Theres no response, no companions here Cant read the signs or between the lines Goodbye, I wish you well  Now where are we going I dont know and I dont even care ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
34,SOMLVRX12AB0189DCE,715143,Before & After,AR6C6VO1187FB4E267,Tora Tora,248.16281,7,0,110.494,1,0,"bThats Not the Way Loves Supposed to Be""""",0,0.300172626,
35,SONZEZC12A8C14580,479760,Crashing Gates,ARRSIQ11187B98F216,Kevin Max,219.01016,9,0.493,88.002,4,0.331,"bBaby_ Im Your Man""""",2008,0.595926916,I can tell your beat up inside Your black and your blue And you don't know how to find the light Uh oh Tell me how to make it alright I've been through hell too And I've had my own poltergeist  You need to find peace Something beautiful please You need to find yourself  Love is the only way ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
36,SOPGYHQ12A8AE47B30,278700,Lovers Rock,AR7N7MI1187FB46935,Sade,160.62649,4,0.519,161.991,4,0.652,All About Our Love,2000,0.640688281,Its all about our love So shall it be forever never ending  After all this time After all is said and done  We have seen some suffering baby It has not always been perfect ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
37,SOQZCBF12AB018644D,379517,Spanning A Lifetime,AR243ZT1187B9A98D2,Otis Spann,298.55302,5,0.644,89.518,3,0.684,Monkey Faced Woman,0,0,
38,SOOIAGM12AB01862C7,762480,Owsley,ARPGYM11187FB4B1E1,Owsley,348.02893,9,0.771,95.787,4,0.958,Class Clown/Good Old Days (Reprise),1999,0,
39,SOVZNGE12AAF3B1E2A,322043,Rhythm & Blues Vol 9,ARD4LQ61187FB470F1,Little Willie John,147.25179,8,0.681,105.653,1,0,Leave My Kitten Alone,1991,0.460484845,"  You better leave (meow) my kitten alone (meow, meow) You better leave (meow, meow) my kitten alone (meow, meow) I done told you big bad bulldog You better leave her alone (meow, meow)  Don't you know my kitten is a dream? Don't you know my kitten is a dream? So, get your hands off of her, 'cause I'm her lovin' man  *Mr. Dog I'm gonna hit you on the top a yo' head The Batgirl's gonna miss you ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
40,SOOINOI12A6D4FC8D0,272060,Feel Me,ARJANQY1187B9A82F7,Leana,228.15302,9,0.015,130.923,4,0,Pack Your Bags (Remix by Ralphi Rosario),0,0.265861049,
41,SOVUFWU12A3F1ECA3C,445182,Roger McGuinn Live At The XM Studios  05/27/2004,ARQFPFK1187FB533E1,Roger McGuinn,264.69832,1,0.743,83.897,3,0.317,The Bells Of Rhymney,0,0,
42,SOACMGG12AB0189F0D,777947,Black Rock,ARSHZBZ1187B98A445,Joe Bonamassa,258.7424,7,0.735,75.064,3,0.741,I Know A Place,2010,0.806399867,"I know a place, where the dogs ain't right I know a place, where the sun don't shine I know a place, where the girls do the talking In the back of my mind, in the back of my mind  I know a place, little girl in your closet But running high, got a knife in his hand ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
43,SODNKBI12A8AE48AD0,279664,Int\xc3\xa9grale 81-91,AR7GOK91187FB455F5,Jean-Jacques Goldman,358.60853,7,0.698,133.058,4,0.645,Je Marche Seul (Version Longue),0,0,"Comme un bateau dérive Sans but et sans mobile Je marche dans la ville Tout seul et anonyme  Oh la ville et ses pièges Ce sont mes privilèges Je suis riche de ça Mais ça ne s'achète pas  J'm'en fous, j'm'en fous De tout De ces chaines qui pendent à mon cou J'm'enfuis, j'oublie Je m'offre une parenthèse, un sursis...  Je marche seul Dans les rues qui se donnent Et la nuit me pardonne Je marche seul En oubliant les heures  ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
44,SOPRXBS12A8C1323E8,619464,Atomic Boogie,ARWIMT21187B9B5AEC,Big Joe Turner,159.16363,0,0.598,84.907,4,0.562,I Got My Discharge Papers,0,0,
45,SOEAXUV12A6D4F8FA2,304975,Valse Avec Bachir,ARDG9Z71187B997023,Public Image Ltd,251.50649,9,0.007,127.369,4,0,This Is Not A Love Song,1983,0.87361876,"This is not a love song  This is not a love song This is not a love song This is not a love song Not a love song  This is not a love song This is not a love song This is not a love song This is not a love song This is not a love song Not a love song This is not a love song  Happy to have and not to have not Big business is very wise I'm crossing over into e-enterprize  Not a love song This is not a love song This is not a love song This is not a love song Not a love song, I know  ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
46,SOFCCRW12A6D4FA064,71368,Kings Of The Texas Swing - Live,AR0CDSK1187FB52ED6,Asleep At The Wheel,238.21016,11,0.046,122.166,4,0.738,The Letter That Johnny Walker Read,2002,0.580704293,"Johnny Walker sat at a table in a bar Minding his own affairs Drinking his namesake over the rocks He was drunk, too drunk to care  When a girl from the bar walked up beside him And this is what she said She said, a woman came by with a letter for you And this is what the letter said  Dear John, please, Johnny, please come home I need your love and the kids, they gotta be fed And John, if you don't hurry back I'll be gone Yes, that's what the letter said ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
47,SOWHXVQ12A8A9D59CA,133543,Party on my own,AR41ESB1187FB360B1,Gloria,218.122,2,0.553,84.978,3,0.67,You are the summer,0,0,
48,SOLICYE12AB017ED96,551858,Die Star Von Kleinkunst und Kabarett,ARPJMMD1187FB4BD47,Curt Bois,153.52118,0,0.4,91.568,4,0.562,Lucindy,0,0,
49,SOYQKLT12AB01841BC,441344,Cinema Do Mar,ARCID1N1187FB51DA0,Carlos Nu\xc3\xb1ez,179.64363,11,0.79,131.986,5,0.285,"bGabriels Oboe (La Mision)""""",2007,0.327736683,
50,SOFAOMI12A6D4FA2D8,64501,Once Upon A Shattered Life,ARYXOV81187B99831D,Seventh Day Slumber,209.73669,2,0.315,150.575,4,0.317,Shattered Life,2005,0.780311604,
51,SOUWMIW12AB0184748,760072,The Unforgettable Grandpa Jones,ARQ91R31187FB38A88,Grandpa Jones,141.73995,2,0.101,119.271,4,0.15,Down In Dixie,0,0,
52,SOQSJJL12AC46874BC,780921,111,AR0ILWV1187FB47CAA,Mouth Of The Architect,475.21914,3,0,124.562,3,0.989,Harboring An Apparition,2006,0.690970954,What was once held so close Has decayed All hope turned to dust  What was once held so close Has decayed All hope turned to dust  ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
53,SOILDRV12A8C13EB77,171957,The Sporting Life,ARUUP4L1187B9B72E,Diamanda Galas,162.95138,5,0.86,162.133,4,0.668,Dark End Of The Street,0,0.323112121,"At the dark end of the street That is where we always meet Hiding in shadows where we don't belong Living in darkness, to hide alone You and me, at the dark end of the street You and me I know a time has gonna take it's toll We have to pay for the love we stole ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
54,SOAYONI12A6D4F85C8,41649,Collection,AR9JLBU1187B9AAEC4,Danny Williams,168.01914,8,0.223,77.072,3,0.597,The Wonderful World Of The Young,1998,0.334706549,"Close your eyes, come with me And we soon will be In the wonderful world of the young  Hearts remain 17 ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
55,SOBUUYV12A58A7DA27,149791,Return Of The Guardians,ARI4S0E1187B9B06C0,David Arkenstone,314.5922,9,0.658,141.975,4,0.659,The Forgotten Lands,1996,0.360370583,
56,SOLXXPY12A67ADABA0,691752,Sin / Pecado,AR4C6V01187FB3BAF4,Moonspell,386.19383,7,0.374,140.185,4,0.099,The Hanged Man,1998,0.594079585,"Put your arms around my neck Just like a pathetic lace of death Displays like a tarot deck I am the card of the hanged man And here I stand With a flame on my hand Do you understand?  If there is hope for me She is flirting with the breeze On a peculiar choreography With the dead arms of some old southern tree  Silently, lips sealed against me Silently, wanna walk with me?  And it makes you wanna know ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
57,SORZSCJ12A8C132446,86259,Nouveau Zydeco,ARAGMIV11F4C843F78,"Myrick Freeze"" Guillory""",300.82567,0,0.297,137.663,4,0,Zydeco In D-Minor,0,0,
58,SOKPTHW12AB018AB51,710826,Mutiny: Deluxe Edition,ARKCYJV1187FB392E9,Set Your Goals,153.23383,8,0.683,131.639,1,0,This Very Moment,2006,0.659230577,"I value you more than you will ever know!  I know I'm not the only one concerned about where this has gone. The feelings that we both once shared, they still exist, they went nowhere.  And you, you know it's true. For you I am still here! I'd hate to see it end this way. It plagues my conscience every day. And I want nothing more. All I need lies in you! Don't say this is the end.  I know I'm not the only one who wishes we could get along. Hanging out from 8 to 3, and never wanting to fall asleep.  I just hope that you will work with me to make this right. ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
59,SOHKLFL12A6D4FA150,123782,Kill Your Darlings,AR5ZVJ91187B99083A,Soulwax,201.24689,0,0.536,111.223,5,0.951,Kill Your Darlings,1996,0.504034341,"There's a script - but I ain't writin' Left that stage all in my mind Cause I'm not hip to your sign language Sticky fingers of a different kind The same word, foreign language In the same season, they killed you twice For the sake of human nature Sweet smell shotgun for the hip and blind  She strokes the gun - feel how it's warm Got a mouthful dirt and razors It'll cut right through last month's flavour ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
60,SOERGHR12AAF3B2A52,384191,The Modern Recordings 1948-50,ARRWDU31187B9B5656,Jimmy McCracklin,147.64363,2,0.397,101.241,4,0.819,Gotta Cut Out,2002,0.262308997,
61,SOQMALF12AAF3B4144,432951,Vocal House Diamonds Vol.2,ARYSHL01187B9AAEC7,Hysterie,379.402,11,0.249,131.986,4,0,Be my Lover,0,0.319565987,
62,SOTNLYM12AB0181695,484445,La Otra,ARXB7B21187B98BEF0,Marisela,221.20444,1,0.736,134.192,4,0.532,La Otra,0,0,Nada duele como ser De un hombre la mujer Que siempre ve a escondidas la que espera siempre fiel Una llamada de el cuando la necesita  Nada duele como amar Sabiendo que el amor no es tuyo por completo Como puedes comprender que ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
63,SOPUCKL12A6D4FB5A6,59794,The Path Of A Decent Groove,ARCZ20M1187FB49687,Tony Joe White,329.35138,2,0.078,139.905,4,0.289,The Coloness Of The Chain,1993,0,
64,SOYJHEW12A8C133A40,240644,Same !@#$ Different Day,AR0JPOG1187FB37383,Lyrics Born,313.15546,11,0.533,98.927,4,1,I Changed My Mind (DJ Spinna Remix),2005,0.443291312,"Well I came at you a young boy, girl With no experience. Year in year out We had our ups and downs But I always took it serious.  I made a joke I played the fool I took time, made all the plans. I know I told you that we were Supposed to have something Made for this weekend But I changed my mind.   I changed my mind. I changed my mind I changed my mind And I changed my mind   Well it started getting cozy, girl I let you control the reins. And despite what I knew to be true I'd hoped that things would change.  I'd even say I can't completely blame But I even take 'cause was situations in ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
65,SOWCJPI12AAF3B229C,321903,The Best of The Baltimore Consort,ARODOO01187FB44F4A,The Baltimore Consort,240.40444,7,0.646,123.784,3,1,Howell\x19s Delight,0,0.212045405,
66,SOBPTED12A6D4F99C7,41136,Serious Hits... Live!,AR9W3X91187FB3994C,Phil Collins,174.23628,11,0.237,206.941,7,0.755,"bYou Cant Hurry Love (Live)""""",1990,0.457447167,"I need love, love Ooh, ease my mind And I need to find fine Someone to call mine  My mama said ""You can't hurry love No, you'll just have to wait"" She said ""Love don't come easy But It's a game of give and take""  ""You can't hurry love No, you'll just have to wait Just trust in the good time No matter how long it takes""  How many heartaches must I stand Before I find the love to let me live again Right now the only thing that keeps me hanging on Is to feel my strength, you know it's almost gone  But remember mama said ""You can't hurry love No, you'll just have to wait"" She said ""Love don't come easy ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
67,SOWVTAJ12A8C13C6D5,304405,Christmas Songbook,ARZVTZN1187FB579D4,Jim Reeves,108.19873,0,0.424,95.264,4,0.372,Jingle Bells,1963,0.468997788,"James Lord Pierpont publ. 1857  (Jingle ling a ling, Ahhh) (Jingle ling a ling, Ahhh)  Dashing through the snow In a one-horse open sleigh, Oer the fields we go, Laughing all the way; Bells on bob-tail ring, Making spirits bright, What fun it is to ride and sing A sleighing song tonight  Jingle bells, jingle bells, ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
68,SOOFHUH12A8C1340A5,199800,I Can See You,ARQ76LG1187B9ACD84,Black Flag,133.25016,10,0.577,207.238,4,0,Out Of This World,1985,0.579038701,I'm out of this world and I'm never comin' back Ever since that day by the side of the road I got a smile on my face and I'm never coming to never coming to never coming to  I'm leaving today and I'm never coming back Killed by a girl by the side of the road  I'm out cold and I'm never coming to I'm out cold and I'm never coming.  I love I love I love I love I love I love I never love I never love I never never never never what I mean to say What I tried to say is that I never never got my way  I'm out of this world and I'm never comin' back Ever since that day by the side of the road ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
69,SOCWFVT12AB01890F8,727695,And The Beat Goes Om,ARI28VJ1187FB4EAD7,Slackbaba,465.6322,0,0.67,88.644,5,0.607,Sea of Green,2006,0.552457009,
70,SOFWWIA12AB01884A1,420564,Help Me,ARS0W831187B9AF0B7,Maximilian Hecker,174.23628,7,0.897,77.006,4,0,Sleepy Lad,2004,0.299877488,
71,SONFOEG12A8C13B8B8,302144,Greatest Hits,ARLAEJO1187B98DB85,FU-Schnickens,237.92281,9,0.591,101.871,4,1,True Fuschnick,1992,0.644823658,"I don't wanna grow up cuz I'm a True Fuschnick We got a million styles that we compile That we can play with I'm a True what? I am a True Fushnick Repeat 3X So sit Buddah sit what lyrical styles should we kick? I'm a rowdy roddy piper I flash my dread sherlock Holmes The thicker the richer the bigger the dread So I don't need no honeycomb So eeney meeney miney mo good goobelly goo I bumped my toe Oh-oh, ""oh-oh better get Maoco"" chocolate Chip's about to flow The super the cola the fraja the listic expialadope Chip When the mic is gripped in ridobidobip bip da be bong de dang, Bo! Cuz worries and boderations when i raps it up again and again But not with the same FU style I'm wicked and wild and versatile When the mic is gripped by Chip you better believe it's worth your while Pause for the cause stop make way hurry up Here I come come come My lyrical styles are not to ifos nos in other words They're not soft son rocks it rigade raggamuffin say it backwards Aggarniffum so abra Fu alacazam run come follow me man Put it by one phenomenon huminahumina I'm not done Me-oh-me oh my hello hello hi I'm not Huckleberry Finn I'm still speaking, shoo, fly Don't bother i So Fe hello hifi Fu fo, i make shapes with Pay-dough re me Near far then I will stitch sew Lipton Tea bo Tae Kwon Do Lyrics are bubbling, bubbling, bubbling, bubbling, bubbling, bubbling,*bubbling,*bubbling,*bubbling,*bubbling,*bubbling,*bubbling, bubbling til' they're boiled So don't drink the milk, Why? Cause it's rotten in other words it's spoiled So don't say drats, drats double or triple or quadruple drats Me big and me black and me hot up de spot G jumping Jehosphats ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)"
72,SOPWWAV12A8C13A825,205410,Riot_ Riot_ Upstart,AR0O3AV1187FB4D030,Agnostic Front,92.18567,6,0.282,151.184,1,0,Sickness,1999,0.665160008,Well I'm feeling real sick-who's got the remedy? My life- under your authority Can't see straight-no visibility Break it down- to the first degree  God damn think I lost my head again ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
73,SOFDYGC12A6D4F9059,354680,Inertiatic Esp,ARHUC691187B9AD27F,The Mars Volta,266.47465,6,0.501,112.486,4,0.529,Inertiatic Esp,2003,0.928616842,Now I'm lost Now I'm lost Now I'm lost Now I'm lost  Last night I heard lepers Flinch like birth defects It's musk was fecal in origin As the words dribbled off of its chin  It said I'm lost I'm lost Now I'm lost Now I'm lost Now I'm lost Now I'm lost Now I'm lost Now I'm lost  ...  ******* This Lyrics is NOT for Commercial use ******* (1409617958758)
74,SOXNASC12AB01874DF,555336,Game Over,AR02PUA1187FB52574,Hoodfellas,227.082,4,0.038,130.011,5,1,If you Seek Amy,0,0.289362698,
